"comm_name_orig","comm_name","sci_name","level","presentation","type","class","order","family","genus"
"Surfperch, barred","Barred surfperch","Amphistichus argenteus","species","whole","fish","Actinopterygii","Perciformes","Embiotocidae","Amphistichus"
"Shrimp, ghost","Ghost shrimp","Callianassidae spp.","group","whole",NA,NA,NA,NA,NA
"Surfperch, calico","Calico surfperch","Amphistichus koelzi","species","whole","fish","Actinopterygii","Perciformes","Embiotocidae","Amphistichus"
"Surfperch, redtail","Redtail surfperch","Amphistichus rhodoterus","species","whole","fish","Actinopterygii","Perciformes","Embiotocidae","Amphistichus"
"Eel, wolf (wolf-eel)","Wolf eel","Anarrhichthys ocellatus","species","whole","fish","Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys"
"Anchovy, deepbody","Deepbody anchovy","Anchoa compressa","species","whole","fish","Actinopterygii","Clupeiformes","Engraulidae","Anchoa"
"Sargo","Sargo","Anisotremus davidsonii","species","whole","fish","Actinopterygii","Perciformes","Haemulidae","Anisotremus"
"Sablefish","Sablefish","Anoplopoma fimbria","species","whole","fish","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma"
"Algae, marine","Marine algae","Chlorophyta spp.","group","whole",NA,NA,NA,NA,NA
"Sea hare","Sea hare","Aplysia californica","species","whole","invert","Gastropoda","Anaspidea","Aplysiidae","Aplysia"
"Shrimp, brine","Brine shrimp","Artemia salina","species","whole","invert","Branchiopoda","Anostraca","Artemiidae","Artemia"
"Flounder, arrowtooth","Arrowtooth flounder","Atheresthes stomias","species","whole","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes"
"Topsmelt","Topsmelt","Atherinops affinis","species","whole","fish","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinops"
"Jacksmelt","Jacksmelt","Atherinopsis californiensis","species","whole","fish","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinopsis"
"Seabass, white","White seabass","Atractoscion nobilis","species","whole","fish","Actinopterygii","Perciformes","Sciaenidae","Atractoscion"
"Mackerel, bullet","Bullet mackerel","Auxis rochei","species","whole","fish","Actinopterygii","Perciformes","Scombridae","Auxis"
"Pacific Pomfret","Pacific pomfret","Brama japonica","species","whole","fish","Actinopterygii","Perciformes","Bramidae","Brama"
"Pomfret, Pacific","Pacific pomfret","Brama japonica","species","whole","fish","Actinopterygii","Perciformes","Bramidae","Brama"
"Snail, bubble","Bubble snail","Bulla gouldiana","species","whole","invert","Gastropoda","Cephalaspidea","Bullidae","Bulla"
"Crab, brown rock","Brown rock crab","Cancer antennarius","species","whole","invert","Malacostraca","Decapoda","Cancridae","Cancer"
"Crab, yellow rock","Yellow rock crab","Cancer anthonyi","species","whole","invert","Malacostraca","Decapoda","Cancridae","Cancer"
"Crab, Dungeness","Dungeness crab","Metacarcinus magister","species","whole","invert","Malacostraca","Decapoda","Cancridae","Metacarcinus"
"Crab, red rock","Red rock crab","Cancer productus","species","whole","invert","Malacostraca","Decapoda","Cancridae","Cancer"
"Shark, blacktip","Blacktip shark","Carcharhinus limbatus","species","whole","fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Shark, dusky","Dusky shark","Carcharhinus obscurus","species","whole","fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Shark, white","White shark","Carcharodon carcharias","species","whole","fish","Elasmobranchii","Lamniformes","Lamnidae","Carcharodon"
"Whitefish, ocean","Ocean whitefish","Caulolatilus princeps","species","whole","fish","Actinopterygii","Perciformes","Malacanthidae","Caulolatilus"
"Eel, monkeyface","Monkeyface prickleback","Cebidichthys violaceus","species","whole","fish","Actinopterygii","Perciformes","Stichaeidae","Cebidichthys"
