"SEASON","FISHERY_CODE","FISHERY_NAME","QUOTA_TYPE","QUOTA_HOLDERS","FIRST_QUARTILE_SHARE","MEDIAN_SHARE","THIRD_QUARTILE_SHARE","MAXIMUM_SHARE","GINI_COEFFICIENT","LOAD_DATE"
"2016/2017","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",140,.33,.58,.92,1.99,.382,"12/10/2021"
"2017/2018","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",125,.42,.62,1.24,1.99,.385,"12/10/2021"
"2018/2019","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",122,.42,.63,1.28,1.99,.385,"12/10/2021"
"2019/2020","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",117,.45,.63,1.31,1.99,.387,"12/10/2021"
"2020/2021","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",112,.48,.69,1.34,1.99,.379,"12/10/2021"
"Initial allocation","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",256,.14,.3,.52,3.87,.457,"12/10/2021"
"2006/2007","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",244,.14,.31,.56,2.91,.449,"12/10/2021"
"2007/2008","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",247,.14,.3,.56,3.63,.458,"12/10/2021"
"2008/2009","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",240,.13,.29,.57,3.63,.474,"12/10/2021"
"2009/2010","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",246,.12,.28,.54,4.96,.493,"12/10/2021"
"2010/2011","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",244,.12,.28,.53,4.96,.504,"12/10/2021"
"2011/2012","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",246,.12,.27,.52,4.97,.508,"12/10/2021"
"2012/2013","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",247,.12,.27,.52,4.97,.504,"12/10/2021"
"2013/2014","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",241,.12,.27,.53,4.97,.517,"12/10/2021"
"2014/2015","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",241,.1,.27,.52,4.97,.538,"12/10/2021"
"2015/2016","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",240,.1,.26,.52,4.97,.546,"12/10/2021"
"2016/2017","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",238,.1,.26,.53,4.97,.549,"12/10/2021"
"2017/2018","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",238,.1,.26,.53,4.97,.548,"12/10/2021"
"2018/2019","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",232,.1,.27,.56,4.97,.544,"12/10/2021"
"2019/2020","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",231,.11,.27,.56,4.97,.539,"12/10/2021"
"2020/2021","WBT","BERING SEA TANNER CRAB - WEST","Owner QS",229,.11,.27,.57,4.97,.539,"12/10/2021"
"Initial allocation","WBT","BERING SEA TANNER CRAB - WEST","Processor QS",23,,.83,,24.26,.734,"12/10/2021"
"2006/2007","WBT","BERING SEA TANNER CRAB - WEST","Processor QS",23,,.83,,24.26,.734,"12/10/2021"
"2007/2008","WBT","BERING SEA TANNER CRAB - WEST","Processor QS",22,,1.27,,24.26,.724,"12/10/2021"
"2008/2009","WBT","BERING SEA TANNER CRAB - WEST","Processor QS",21,,1.85,,24.26,.695,"12/10/2021"
"2009/2010","WBT","BERING SEA TANNER CRAB - WEST","Processor QS",21,,1.85,,24.26,.695,"12/10/2021"
"2010/2011","WBT","BERING SEA TANNER CRAB - WEST","Processor QS",21,,1.85,,24.26,.695,"12/10/2021"
"2011/2012","WBT","BERING SEA TANNER CRAB - WEST","Processor QS",21,,1.85,,24.26,.695,"12/10/2021"
"2012/2013","WBT","BERING SEA TANNER CRAB - WEST","Processor QS",21,,1.85,,24.26,.695,"12/10/2021"
"2013/2014","WBT","BERING SEA TANNER CRAB - WEST","Processor QS",21,,1.85,,24.26,.695,"12/10/2021"
"2014/2015","WBT","BERING SEA TANNER CRAB - WEST","Processor QS",19,,1.85,,24.37,.694,"12/10/2021"
"2015/2016","WBT","BERING SEA TANNER CRAB - WEST","Processor QS",19,,1.85,,24.37,.694,"12/10/2021"
"2016/2017","WBT","BERING SEA TANNER CRAB - WEST","Processor QS",19,,1.85,,24.37,.694,"12/10/2021"
"2017/2018","WBT","BERING SEA TANNER CRAB - WEST","Processor QS",19,,1.85,,24.37,.694,"12/10/2021"
"2018/2019","WBT","BERING SEA TANNER CRAB - WEST","Processor QS",18,,1.87,,24.37,.676,"12/10/2021"
"2019/2020","WBT","BERING SEA TANNER CRAB - WEST","Processor QS",18,,1.87,,24.37,.676,"12/10/2021"
"2020/2021","WBT","BERING SEA TANNER CRAB - WEST","Processor QS",19,,1.86,,23.92,.678,"12/10/2021"
