"SEASON","FISHERY_CODE","FISHERY_NAME","QUOTA_TYPE","INITIALQSHOLDER_COUNT","INITIALQSHOLDER_SHARE","NEWQSHOLDER_COUNT","NEWQSHOLDER_SHARE","LOAD_DATE"
"2020/2021","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",30,46.44,31,53.56,"12/10/2021"
"Initial allocation","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",137,100,0,0,"12/10/2021"
"2005/2006","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",134,97.68,6,2.32,"12/10/2021"
"2006/2007","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",123,92.23,13,7.77,"12/10/2021"
"2007/2008","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",116,84.15,26,15.85,"12/10/2021"
"2008/2009","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",114,83.16,27,16.84,"12/10/2021"
"2009/2010","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",110,79.28,37,20.72,"12/10/2021"
"2010/2011","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",108,78.26,38,21.74,"12/10/2021"
"2011/2012","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",105,77.56,40,22.44,"12/10/2021"
"2012/2013","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",99,75.35,44,24.65,"12/10/2021"
"2013/2014","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",97,76.85,41,23.15,"12/10/2021"
"2014/2015","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",92,76.85,41,23.15,"12/10/2021"
"2015/2016","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",92,76.85,41,23.15,"12/10/2021"
"2016/2017","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",92,76.85,42,23.15,"12/10/2021"
"2017/2018","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",92,76.87,41,23.13,"12/10/2021"
"2018/2019","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",92,77.55,43,22.45,"12/10/2021"
"2019/2020","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",88,76,48,24,"12/10/2021"
"2020/2021","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",85,74.87,52,25.13,"12/10/2021"
"Initial allocation","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",9,100,0,0,"12/10/2021"
"2005/2006","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",8,93.7,1,6.3,"12/10/2021"
"2006/2007","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",8,93.7,1,6.3,"12/10/2021"
"2007/2008","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",7,87.53,2,12.47,"12/10/2021"
"2008/2009","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",6,81.81,2,18.19,"12/10/2021"
"2009/2010","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",6,81.81,2,18.19,"12/10/2021"
"2010/2011","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",6,81.81,2,18.19,"12/10/2021"
"2011/2012","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",6,81.81,2,18.19,"12/10/2021"
"2012/2013","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",6,81.81,2,18.19,"12/10/2021"
"2013/2014","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",6,81.81,2,18.19,"12/10/2021"
"2014/2015","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",6,73.44,3,26.56,"12/10/2021"
"2015/2016","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",6,73.44,3,26.56,"12/10/2021"
"2016/2017","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",6,73.44,3,26.56,"12/10/2021"
"2017/2018","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",6,73.44,3,26.56,"12/10/2021"
"2018/2019","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",6,73.44,3,26.56,"12/10/2021"
"2019/2020","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",6,73.44,3,26.56,"12/10/2021"
"2020/2021","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",6,79.74,2,20.26,"12/10/2021"
