"FMP_AREA","GEAR","SUBAREA","GROUNDFISH_TARGET_SPECIES","SPECIES","YEAR","RETCATCH_MT","PERCENT_CATCH_SUPPRESSED"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2015",9974,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2016",8849,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2017",9873,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2018",10279,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2019",10747,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2020",11198,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2003",4129,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2004",2387,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2005",4034,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2006",6876,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2007",8054,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2008",8523,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2009",8128,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2010",5034,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2011",3575,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2012",3449,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2013",4103,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2014",3487,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2015",2076,"25-50%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2016",2233,"25-50%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2017",1488,"25-50%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2018",1845,"25-50%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2019",2011,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Shallow-Water Flatfish","2020",2145,"25-50%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2003",101267,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2004",104898,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2005",115241,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2006",118365,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2007",108189,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2008",118865,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2009",98658,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2010",135317,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2011",160196,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2012",167413,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2013",167224,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2014",237238,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2015",227452,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2016",197249,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2017",208439,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2018",174423,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2019",149811,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","All Groundfish","2020",138468,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2003",7719,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2004",5768,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2005",10538,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2006",14795,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2007",13205,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2008",18584,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2009",11628,"5-10%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2010",10512,"10-25%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2011",22871,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2012",14714,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2013",15839,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2014",30925,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2015",16223,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2016",17066,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2017",24603,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2018",15948,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2019",22301,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Arrowtooth Flounder","2020",19276,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2003",17,"75-99%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2004",17,"5-10%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2005",379,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2006",137,"10-25%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2007",86,"25-50%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2008",306,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2009",427,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2010",304,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2011",278,"10-25%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2012",260,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2013",538,"10-25%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2014",641,"5-10%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2015",514,"5-10%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2016",662,"10-25%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2017",206,"1-5%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2018",607,"10-25%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2019",262,"25-50%"
"Gulf of Alaska","All Gear","Central Gulf","All Target Species","Atka Mackerel","2020",-9999,"100%"
