"FMP_AREA","HARVEST_SECTOR","SPECIES_GROUP","YEAR","RETAINED_CATCH_MT","EXVESSEL_VALUE"
"Bering Sea and Aleutian Islands","Catcher Processors","Rockfish","2013",31428,14832179
"Bering Sea and Aleutian Islands","Catcher Vessels","Rockfish","2013",284,195973
"Gulf of Alaska","All Sectors","Rockfish","2013",22011,11814227
"Gulf of Alaska","Catcher Processors","Rockfish","2013",11347,5302647
"Gulf of Alaska","Catcher Vessels","Rockfish","2013",10664,6511579
"All Alaska","Catcher Vessels","Pollock","2013",753795,254859385
"Bering Sea and Aleutian Islands","All Sectors","Pollock","2013",1267113,424782571
"Bering Sea and Aleutian Islands","Catcher Processors","Pollock","2013",606217,205949109
"Bering Sea and Aleutian Islands","Catcher Vessels","Pollock","2013",660896,218833462
"Gulf of Alaska","All Sectors","Pollock","2013",93936,36428055
"Gulf of Alaska","Catcher Processors","Pollock","2013",1037,402133
"Gulf of Alaska","Catcher Vessels","Pollock","2013",92899,36025923
"All Alaska","All Sectors","Rockfish","2013",53723,26842379
"Bering Sea and Aleutian Islands","All Sectors","Pacific Cod","2013",243773,142487208
"Bering Sea and Aleutian Islands","Catcher Processors","Pacific Cod","2013",172395,104170176
"Bering Sea and Aleutian Islands","Catcher Vessels","Pacific Cod","2013",71378,38317031
"Gulf of Alaska","All Sectors","Pacific Cod","2013",63826,43101304
"Gulf of Alaska","Catcher Processors","Pacific Cod","2013",4730,2912208
"Gulf of Alaska","Catcher Vessels","Pacific Cod","2013",59096,40189096
"All Alaska","All Sectors","Pollock","2013",1361050,461210627
"All Alaska","Catcher Processors","Pollock","2013",607254,206351242
"Bering Sea and Aleutian Islands","Catcher Processors","Other Groundfish","2014",8191,8054431
"Bering Sea and Aleutian Islands","Catcher Vessels","Other Groundfish","2014",1261,496322
"Gulf of Alaska","All Sectors","Other Groundfish","2014",2166,2151856
"Gulf of Alaska","Catcher Processors","Other Groundfish","2014",222,213658
"Gulf of Alaska","Catcher Vessels","Other Groundfish","2014",1944,1938197
"All Alaska","All Sectors","Pacific Cod","2014",323961,206483577
"All Alaska","Catcher Processors","Pacific Cod","2014",172544,111116298
"All Alaska","Catcher Vessels","Pacific Cod","2014",151418,95367280
"Bering Sea and Aleutian Islands","Catcher Vessels","Flatfish","2014",3247,1194574
"Gulf of Alaska","All Sectors","Flatfish","2014",40780,12332904
"Gulf of Alaska","Catcher Processors","Flatfish","2014",22894,7295790
"Gulf of Alaska","Catcher Vessels","Flatfish","2014",17886,5037114
"All Alaska","All Sectors","Other Groundfish","2014",11619,10702609
"All Alaska","Catcher Processors","Other Groundfish","2014",8414,8268090
"All Alaska","Catcher Vessels","Other Groundfish","2014",3205,2434519
"Bering Sea and Aleutian Islands","All Sectors","Other Groundfish","2014",9452,8550753
"Gulf of Alaska","All Sectors","Atka Mackerel","2014",925,768164
"Gulf of Alaska","Catcher Processors","Atka Mackerel","2014",920,764162
"Gulf of Alaska","Catcher Vessels","Atka Mackerel","2014",5,4002
"All Alaska","All Sectors","Flatfish","2014",291803,91916604
"All Alaska","Catcher Processors","Flatfish","2014",270669,85684916
"All Alaska","Catcher Vessels","Flatfish","2014",21133,6231688
"Bering Sea and Aleutian Islands","All Sectors","Flatfish","2014",251022,79583700
"Bering Sea and Aleutian Islands","Catcher Processors","Flatfish","2014",247775,78389126
"Gulf of Alaska","Catcher Processors","All Groundfish","2014",47661,25461481
"Gulf of Alaska","Catcher Vessels","All Groundfish","2014",253171,180086970
"All Alaska","All Sectors","Atka Mackerel","2014",28792,22425046
"All Alaska","Catcher Processors","Atka Mackerel","2014",28685,22341766
"All Alaska","Catcher Vessels","Atka Mackerel","2014",107,83280
"Bering Sea and Aleutian Islands","All Sectors","Atka Mackerel","2014",27867,21656882
"Bering Sea and Aleutian Islands","Catcher Processors","Atka Mackerel","2014",27765,21577603
"Bering Sea and Aleutian Islands","Catcher Vessels","Atka Mackerel","2014",102,79279
"Gulf of Alaska","Catcher Vessels","Sablefish","2014",9556,81696458
"All Alaska","All Sectors","All Groundfish","2014",2151772,924504433
"All Alaska","Catcher Processors","All Groundfish","2014",1145092,460358544
"All Alaska","Catcher Vessels","All Groundfish","2014",1006680,464145888
"Bering Sea and Aleutian Islands","All Sectors","All Groundfish","2014",1850941,718955982
"Bering Sea and Aleutian Islands","Catcher Processors","All Groundfish","2014",1097431,434897064
"Bering Sea and Aleutian Islands","Catcher Vessels","All Groundfish","2014",753509,284058918
"Gulf of Alaska","All Sectors","All Groundfish","2014",300832,205548451
"All Alaska","All Sectors","Sablefish","2014",11608,97489990
"All Alaska","Catcher Processors","Sablefish","2014",1213,8391458
"All Alaska","Catcher Vessels","Sablefish","2014",10395,89098532
"Bering Sea and Aleutian Islands","All Sectors","Sablefish","2014",1094,9304049
"Bering Sea and Aleutian Islands","Catcher Processors","Sablefish","2014",255,1901975
"Bering Sea and Aleutian Islands","Catcher Vessels","Sablefish","2014",839,7402074
"Gulf of Alaska","All Sectors","Sablefish","2014",10514,88185941
"Gulf of Alaska","Catcher Processors","Sablefish","2014",958,6489483
"All Alaska","Catcher Processors","Rockfish","2014",45847,22739798
"All Alaska","Catcher Vessels","Rockfish","2014",12315,6363385
"Bering Sea and Aleutian Islands","All Sectors","Rockfish","2014",32332,17203847
"Bering Sea and Aleutian Islands","Catcher Processors","Rockfish","2014",31852,16915182
"Bering Sea and Aleutian Islands","Catcher Vessels","Rockfish","2014",480,288665
"Gulf of Alaska","All Sectors","Rockfish","2014",25829,11899336
"Gulf of Alaska","Catcher Processors","Rockfish","2014",13995,5824616
"Gulf of Alaska","Catcher Vessels","Rockfish","2014",11834,6074720
"All Alaska","Catcher Vessels","Pollock","2014",808107,264567205
"Bering Sea and Aleutian Islands","All Sectors","Pollock","2014",1284705,428504162
"Bering Sea and Aleutian Islands","Catcher Processors","Pollock","2014",616203,201748146
"Bering Sea and Aleutian Islands","Catcher Vessels","Pollock","2014",668502,226756016
"Gulf of Alaska","All Sectors","Pollock","2014",141122,37879262
"Gulf of Alaska","Catcher Processors","Pollock","2014",1518,68074
"Gulf of Alaska","Catcher Vessels","Pollock","2014",139605,37811188
"All Alaska","All Sectors","Rockfish","2014",58161,29103182
"Bering Sea and Aleutian Islands","All Sectors","Pacific Cod","2014",244466,154152589
"Bering Sea and Aleutian Islands","Catcher Processors","Pacific Cod","2014",165389,106310600
"Bering Sea and Aleutian Islands","Catcher Vessels","Pacific Cod","2014",79078,47841989
"Gulf of Alaska","All Sectors","Pacific Cod","2014",79495,52330988
"Gulf of Alaska","Catcher Processors","Pacific Cod","2014",7155,4805697
"Gulf of Alaska","Catcher Vessels","Pacific Cod","2014",72340,47525291
"All Alaska","All Sectors","Pollock","2014",1425828,466383424
"All Alaska","Catcher Processors","Pollock","2014",617720,201816220
"Bering Sea and Aleutian Islands","Catcher Vessels","Flatfish","2015",11795,3513300
"Gulf of Alaska","All Sectors","Flatfish","2015",21549,6307733
"Gulf of Alaska","Catcher Processors","Flatfish","2015",10493,3264858
"Gulf of Alaska","Catcher Vessels","Flatfish","2015",11055,3042875
"All Alaska","All Sectors","Other Groundfish","2015",12194,5096694
"All Alaska","Catcher Processors","Other Groundfish","2015",7992,2612125
"All Alaska","Catcher Vessels","Other Groundfish","2015",4202,2484569
"Bering Sea and Aleutian Islands","All Sectors","Other Groundfish","2015",10040,2954186
"Gulf of Alaska","All Sectors","Atka Mackerel","2015",870,580387
"Gulf of Alaska","Catcher Processors","Atka Mackerel","2015",838,558713
"Gulf of Alaska","Catcher Vessels","Atka Mackerel","2015",33,21675
"All Alaska","All Sectors","Flatfish","2015",229301,69765410
"All Alaska","Catcher Processors","Flatfish","2015",206450,63209235
"All Alaska","Catcher Vessels","Flatfish","2015",22850,6556175
"Bering Sea and Aleutian Islands","All Sectors","Flatfish","2015",207752,63457677
"Bering Sea and Aleutian Islands","Catcher Processors","Flatfish","2015",195957,59944377
"Gulf of Alaska","Catcher Processors","All Groundfish","2015",34334,20890995
"Gulf of Alaska","Catcher Vessels","All Groundfish","2015",270763,183706283
"All Alaska","All Sectors","Atka Mackerel","2015",53340,30268602
"All Alaska","Catcher Processors","Atka Mackerel","2015",50096,28429866
"All Alaska","Catcher Vessels","Atka Mackerel","2015",3244,1838736
"Bering Sea and Aleutian Islands","All Sectors","Atka Mackerel","2015",52470,29688215
"Bering Sea and Aleutian Islands","Catcher Processors","Atka Mackerel","2015",49258,27871153
"Bering Sea and Aleutian Islands","Catcher Vessels","Atka Mackerel","2015",3211,1817062
"Gulf of Alaska","Catcher Vessels","Sablefish","2015",9275,82851331
"All Alaska","All Sectors","All Groundfish","2015",2166109,878809829
"All Alaska","Catcher Processors","All Groundfish","2015",1118886,418798204
"All Alaska","Catcher Vessels","All Groundfish","2015",1047223,460011625
"Bering Sea and Aleutian Islands","All Sectors","All Groundfish","2015",1861012,674212552
"Bering Sea and Aleutian Islands","Catcher Processors","All Groundfish","2015",1084552,397907209
"Bering Sea and Aleutian Islands","Catcher Vessels","All Groundfish","2015",776460,276305342
"Gulf of Alaska","All Sectors","All Groundfish","2015",305097,204597278
"All Alaska","All Sectors","Sablefish","2015",10833,94469671
"All Alaska","Catcher Processors","Sablefish","2015",1083,7719973
"All Alaska","Catcher Vessels","Sablefish","2015",9750,86749698
"Bering Sea and Aleutian Islands","All Sectors","Sablefish","2015",619,4937906
"Bering Sea and Aleutian Islands","Catcher Processors","Sablefish","2015",144,1039539
"Bering Sea and Aleutian Islands","Catcher Vessels","Sablefish","2015",475,3898367
"Gulf of Alaska","All Sectors","Sablefish","2015",10214,89531765
"Gulf of Alaska","Catcher Processors","Sablefish","2015",939,6680434
"All Alaska","Catcher Processors","Rockfish","2015",48817,21206882
"All Alaska","Catcher Vessels","Rockfish","2015",15397,7798211
"Bering Sea and Aleutian Islands","All Sectors","Rockfish","2015",37523,16644782
"Bering Sea and Aleutian Islands","Catcher Processors","Rockfish","2015",34403,15180029
"Bering Sea and Aleutian Islands","Catcher Vessels","Rockfish","2015",3119,1464753
"Gulf of Alaska","All Sectors","Rockfish","2015",26691,12360310
"Gulf of Alaska","Catcher Processors","Rockfish","2015",14414,6026852
"Gulf of Alaska","Catcher Vessels","Rockfish","2015",12277,6333458
"All Alaska","Catcher Vessels","Pollock","2015",852249,271355906
"Bering Sea and Aleutian Islands","All Sectors","Pollock","2015",1313595,412720609
"Bering Sea and Aleutian Islands","Catcher Processors","Pollock","2015",626445,184899959
"Bering Sea and Aleutian Islands","Catcher Vessels","Pollock","2015",687151,227820650
"Gulf of Alaska","All Sectors","Pollock","2015",166173,43592798
"Gulf of Alaska","Catcher Processors","Pollock","2015",1075,57542
"Gulf of Alaska","Catcher Vessels","Pollock","2015",165098,43535256
"All Alaska","All Sectors","Rockfish","2015",64214,29005092
"Bering Sea and Aleutian Islands","All Sectors","Pacific Cod","2015",239014,143809177
"Bering Sea and Aleutian Islands","Catcher Processors","Pacific Cod","2015",170577,106602187
"Bering Sea and Aleutian Islands","Catcher Vessels","Pacific Cod","2015",68437,37206990
"Gulf of Alaska","All Sectors","Pacific Cod","2015",77446,50081775
"Gulf of Alaska","Catcher Processors","Pacific Cod","2015",6352,4060435
"Gulf of Alaska","Catcher Vessels","Pacific Cod","2015",71094,46021341
"All Alaska","All Sectors","Pollock","2015",1479768,456313407
"All Alaska","Catcher Processors","Pollock","2015",627519,184957502
"Bering Sea and Aleutian Islands","Catcher Processors","Other Groundfish","2015",7768,2369965
"Bering Sea and Aleutian Islands","Catcher Vessels","Other Groundfish","2015",2271,584221
"Gulf of Alaska","All Sectors","Other Groundfish","2015",2154,2142508
"Gulf of Alaska","Catcher Processors","Other Groundfish","2015",223,242161
"Gulf of Alaska","Catcher Vessels","Other Groundfish","2015",1931,1900348
"All Alaska","All Sectors","Pacific Cod","2015",316460,193890952
"All Alaska","Catcher Processors","Pacific Cod","2015",176929,110662622
"All Alaska","Catcher Vessels","Pacific Cod","2015",139531,83228331
"Bering Sea and Aleutian Islands","Catcher Processors","Other Groundfish","2016",6807,3229867
"Bering Sea and Aleutian Islands","Catcher Vessels","Other Groundfish","2016",534,179836
"Gulf of Alaska","All Sectors","Other Groundfish","2016",1687,1586448
"Gulf of Alaska","Catcher Processors","Other Groundfish","2016",206,115703
"Gulf of Alaska","Catcher Vessels","Other Groundfish","2016",1480,1470745
"All Alaska","All Sectors","Pacific Cod","2016",320792,197178306
"All Alaska","Catcher Processors","Pacific Cod","2016",176842,109915129
"All Alaska","Catcher Vessels","Pacific Cod","2016",143950,87263177
"Bering Sea and Aleutian Islands","Catcher Vessels","Flatfish","2016",14679,4933311
"Gulf of Alaska","All Sectors","Flatfish","2016",23610,5735230
"Gulf of Alaska","Catcher Processors","Flatfish","2016",5849,1493112
"Gulf of Alaska","Catcher Vessels","Flatfish","2016",17760,4242118
"All Alaska","All Sectors","Other Groundfish","2016",9028,4996151
"All Alaska","Catcher Processors","Other Groundfish","2016",7014,3345569
"All Alaska","Catcher Vessels","Other Groundfish","2016",2014,1650581
"Bering Sea and Aleutian Islands","All Sectors","Other Groundfish","2016",7341,3409703
"Gulf of Alaska","All Sectors","Atka Mackerel","2016",800,517583
"Gulf of Alaska","Catcher Processors","Atka Mackerel","2016",393,254397
"Gulf of Alaska","Catcher Vessels","Atka Mackerel","2016",407,263186
"All Alaska","All Sectors","Flatfish","2016",235054,80255662
"All Alaska","Catcher Processors","Flatfish","2016",202614,71080234
"All Alaska","Catcher Vessels","Flatfish","2016",32440,9175429
"Bering Sea and Aleutian Islands","All Sectors","Flatfish","2016",211444,74520433
"Bering Sea and Aleutian Islands","Catcher Processors","Flatfish","2016",196765,69587122
"Gulf of Alaska","Catcher Processors","All Groundfish","2016",28635,15445819
"Gulf of Alaska","Catcher Vessels","All Groundfish","2016",276518,168826385
"All Alaska","All Sectors","Atka Mackerel","2016",54857,30657580
"All Alaska","Catcher Processors","Atka Mackerel","2016",50769,28342325
"All Alaska","Catcher Vessels","Atka Mackerel","2016",4088,2315255
"Bering Sea and Aleutian Islands","All Sectors","Atka Mackerel","2016",54058,30139997
"Bering Sea and Aleutian Islands","Catcher Processors","Atka Mackerel","2016",50377,28087928
"Bering Sea and Aleutian Islands","Catcher Vessels","Atka Mackerel","2016",3681,2052069
"Gulf of Alaska","Catcher Vessels","Sablefish","2016",8285,85647836
"All Alaska","All Sectors","All Groundfish","2016",2217529,842688631
"All Alaska","Catcher Processors","All Groundfish","2016",1129173,402607678
"All Alaska","Catcher Vessels","All Groundfish","2016",1088356,440080953
"Bering Sea and Aleutian Islands","All Sectors","All Groundfish","2016",1912376,658416427
"Bering Sea and Aleutian Islands","Catcher Processors","All Groundfish","2016",1100538,387161859
"Bering Sea and Aleutian Islands","Catcher Vessels","All Groundfish","2016",811838,271254568
"Gulf of Alaska","All Sectors","All Groundfish","2016",305153,184272204
"All Alaska","All Sectors","Sablefish","2016",9858,94747640
"All Alaska","Catcher Processors","Sablefish","2016",1169,5560429
"All Alaska","Catcher Vessels","Sablefish","2016",8689,89187211
"Bering Sea and Aleutian Islands","All Sectors","Sablefish","2016",796,5297874
"Bering Sea and Aleutian Islands","Catcher Processors","Sablefish","2016",392,1758499
"Bering Sea and Aleutian Islands","Catcher Vessels","Sablefish","2016",404,3539375
"Gulf of Alaska","All Sectors","Sablefish","2016",9062,89449766
"Gulf of Alaska","Catcher Processors","Sablefish","2016",777,3801930
"All Alaska","Catcher Processors","Rockfish","2016",48432,19302060
"All Alaska","Catcher Vessels","Rockfish","2016",17726,8441163
"Bering Sea and Aleutian Islands","All Sectors","Rockfish","2016",35336,13896321
"Bering Sea and Aleutian Islands","Catcher Processors","Rockfish","2016",32795,12877113
"Bering Sea and Aleutian Islands","Catcher Vessels","Rockfish","2016",2542,1019208
"Gulf of Alaska","All Sectors","Rockfish","2016",30821,13846902
"Gulf of Alaska","Catcher Processors","Rockfish","2016",15637,6424947
"Gulf of Alaska","Catcher Vessels","Rockfish","2016",15184,7421955
"All Alaska","Catcher Vessels","Pollock","2016",879450,242048137
"Bering Sea and Aleutian Islands","All Sectors","Pollock","2016",1345716,374860198
"Bering Sea and Aleutian Islands","Catcher Processors","Pollock","2016",641765,164981548
"Bering Sea and Aleutian Islands","Catcher Vessels","Pollock","2016",703951,209878650
"Gulf of Alaska","All Sectors","Pollock","2016",176067,32249870
"Gulf of Alaska","Catcher Processors","Pollock","2016",568,80383
"Gulf of Alaska","Catcher Vessels","Pollock","2016",175499,32169487
"All Alaska","All Sectors","Rockfish","2016",66157,27743224
"Bering Sea and Aleutian Islands","All Sectors","Pacific Cod","2016",257685,156291901
"Bering Sea and Aleutian Islands","Catcher Processors","Pacific Cod","2016",171638,106639782
"Bering Sea and Aleutian Islands","Catcher Vessels","Pacific Cod","2016",86047,49652119
"Gulf of Alaska","All Sectors","Pacific Cod","2016",63107,40886405
"Gulf of Alaska","Catcher Processors","Pacific Cod","2016",5205,3275347
"Gulf of Alaska","Catcher Vessels","Pacific Cod","2016",57902,37611058
"All Alaska","All Sectors","Pollock","2016",1521783,407110068
"All Alaska","Catcher Processors","Pollock","2016",642333,165061931
"Bering Sea and Aleutian Islands","Catcher Processors","Other Groundfish","2017",9377,5245659
"Bering Sea and Aleutian Islands","Catcher Vessels","Other Groundfish","2017",1106,404904
"Gulf of Alaska","All Sectors","Other Groundfish","2017",1280,1280636
"Gulf of Alaska","Catcher Processors","Other Groundfish","2017",279,260972
"Gulf of Alaska","Catcher Vessels","Other Groundfish","2017",1000,1019664
"All Alaska","All Sectors","Pacific Cod","2017",298040,213156595
"All Alaska","Catcher Processors","Pacific Cod","2017",168198,121871240
"All Alaska","Catcher Vessels","Pacific Cod","2017",129842,91285355
"Bering Sea and Aleutian Islands","Catcher Vessels","Flatfish","2017",21152,8697003
"Gulf of Alaska","All Sectors","Flatfish","2017",29304,7577347
"Gulf of Alaska","Catcher Processors","Flatfish","2017",14789,3857685
"Gulf of Alaska","Catcher Vessels","Flatfish","2017",14515,3719662
"All Alaska","All Sectors","Other Groundfish","2017",11763,6931199
"All Alaska","Catcher Processors","Other Groundfish","2017",9656,5506631
"All Alaska","Catcher Vessels","Other Groundfish","2017",2107,1424568
"Bering Sea and Aleutian Islands","All Sectors","Other Groundfish","2017",10483,5650563
"Gulf of Alaska","All Sectors","Atka Mackerel","2017",655,558844
"Gulf of Alaska","Catcher Processors","Atka Mackerel","2017",522,445686
"Gulf of Alaska","Catcher Vessels","Atka Mackerel","2017",133,113158
"All Alaska","All Sectors","Flatfish","2017",227909,93780532
"All Alaska","Catcher Processors","Flatfish","2017",192242,81363866
"All Alaska","Catcher Vessels","Flatfish","2017",35668,12416666
"Bering Sea and Aleutian Islands","All Sectors","Flatfish","2017",198605,86203184
"Bering Sea and Aleutian Islands","Catcher Processors","Flatfish","2017",177453,77506181
"Gulf of Alaska","Catcher Processors","All Groundfish","2017",39396,24524276
"Gulf of Alaska","Catcher Vessels","All Groundfish","2017",261140,182466664
"All Alaska","All Sectors","Atka Mackerel","2017",64708,50804627
"All Alaska","Catcher Processors","Atka Mackerel","2017",60004,47104512
"All Alaska","Catcher Vessels","Atka Mackerel","2017",4704,3700115
"Bering Sea and Aleutian Islands","All Sectors","Atka Mackerel","2017",64053,50245783
"Bering Sea and Aleutian Islands","Catcher Processors","Atka Mackerel","2017",59482,46658826
"Bering Sea and Aleutian Islands","Catcher Vessels","Atka Mackerel","2017",4572,3586957
"Gulf of Alaska","Catcher Vessels","Sablefish","2017",9054,105980061
"All Alaska","All Sectors","All Groundfish","2017",2213337,905821884
"All Alaska","Catcher Processors","All Groundfish","2017",1123782,437060853
"All Alaska","Catcher Vessels","All Groundfish","2017",1089555,468761031
"Bering Sea and Aleutian Islands","All Sectors","All Groundfish","2017",1912802,698830944
"Bering Sea and Aleutian Islands","Catcher Processors","All Groundfish","2017",1084386,412536577
"Bering Sea and Aleutian Islands","Catcher Vessels","All Groundfish","2017",828416,286294367
"Gulf of Alaska","All Sectors","All Groundfish","2017",300535,206990940
"All Alaska","All Sectors","Sablefish","2017",11543,124189825
"All Alaska","Catcher Processors","Sablefish","2017",1787,12378692
"All Alaska","Catcher Vessels","Sablefish","2017",9756,111811133
"Bering Sea and Aleutian Islands","All Sectors","Sablefish","2017",1465,9092317
"Bering Sea and Aleutian Islands","Catcher Processors","Sablefish","2017",763,3261245
"Bering Sea and Aleutian Islands","Catcher Vessels","Sablefish","2017",702,5831072
"Gulf of Alaska","All Sectors","Sablefish","2017",10078,115097508
"Gulf of Alaska","Catcher Processors","Sablefish","2017",1024,9117447
"All Alaska","Catcher Processors","Rockfish","2017",48581,21868202
"All Alaska","Catcher Vessels","Rockfish","2017",13834,6959669
"Bering Sea and Aleutian Islands","All Sectors","Rockfish","2017",35493,16791742
"Bering Sea and Aleutian Islands","Catcher Processors","Rockfish","2017",32966,15569493
"Bering Sea and Aleutian Islands","Catcher Vessels","Rockfish","2017",2527,1222250
"Gulf of Alaska","All Sectors","Rockfish","2017",26921,12036128
"Gulf of Alaska","Catcher Processors","Rockfish","2017",15615,6298709
"Gulf of Alaska","Catcher Vessels","Rockfish","2017",11307,5737419
"All Alaska","Catcher Vessels","Pollock","2017",893646,241163526
"Bering Sea and Aleutian Islands","All Sectors","Pollock","2017",1352628,352887800
"Bering Sea and Aleutian Islands","Catcher Processors","Pollock","2017",642246,146763017
"Bering Sea and Aleutian Islands","Catcher Vessels","Pollock","2017",710382,206124783
"Gulf of Alaska","All Sectors","Pollock","2017",184332,35243436
"Gulf of Alaska","Catcher Processors","Pollock","2017",1068,204693
"Gulf of Alaska","Catcher Vessels","Pollock","2017",183264,35038743
"All Alaska","All Sectors","Rockfish","2017",62414,28827871
"Bering Sea and Aleutian Islands","All Sectors","Pacific Cod","2017",250075,177959555
"Bering Sea and Aleutian Islands","Catcher Processors","Pacific Cod","2017",162100,117532156
"Bering Sea and Aleutian Islands","Catcher Vessels","Pacific Cod","2017",87975,60427399
"Gulf of Alaska","All Sectors","Pacific Cod","2017",47965,35197040
"Gulf of Alaska","Catcher Processors","Pacific Cod","2017",6098,4339084
"Gulf of Alaska","Catcher Vessels","Pacific Cod","2017",41867,30857956
"All Alaska","All Sectors","Pollock","2017",1536960,388131236
"All Alaska","Catcher Processors","Pollock","2017",643314,146967710
"Bering Sea and Aleutian Islands","Catcher Processors","Other Groundfish","2018",12017,6909659
"Bering Sea and Aleutian Islands","Catcher Vessels","Other Groundfish","2018",1820,655705
"Gulf of Alaska","All Sectors","Other Groundfish","2018",1039,1012367
"Gulf of Alaska","Catcher Processors","Other Groundfish","2018",101,99246
"Gulf of Alaska","Catcher Vessels","Other Groundfish","2018",938,913121
"All Alaska","All Sectors","Pacific Cod","2018",232410,210376845
"All Alaska","Catcher Processors","Pacific Cod","2018",137274,126358677
"All Alaska","Catcher Vessels","Pacific Cod","2018",95135,84018168
"Bering Sea and Aleutian Islands","Catcher Vessels","Flatfish","2018",16564,7846887
"Gulf of Alaska","All Sectors","Flatfish","2018",22602,6057929
"Gulf of Alaska","Catcher Processors","Flatfish","2018",4894,1366211
"Gulf of Alaska","Catcher Vessels","Flatfish","2018",17707,4691719
"All Alaska","All Sectors","Other Groundfish","2018",14876,8577732
"All Alaska","Catcher Processors","Other Groundfish","2018",12118,7008906
"All Alaska","Catcher Vessels","Other Groundfish","2018",2758,1568826
"Bering Sea and Aleutian Islands","All Sectors","Other Groundfish","2018",13837,7565365
"Gulf of Alaska","All Sectors","Atka Mackerel","2018",1276,999888
"Gulf of Alaska","Catcher Processors","Atka Mackerel","2018",1099,861521
"Gulf of Alaska","Catcher Vessels","Atka Mackerel","2018",177,138367
"All Alaska","All Sectors","Flatfish","2018",220001,101774192
"All Alaska","Catcher Processors","Flatfish","2018",185730,89235586
"All Alaska","Catcher Vessels","Flatfish","2018",34271,12538605
"Bering Sea and Aleutian Islands","All Sectors","Flatfish","2018",197399,95716262
"Bering Sea and Aleutian Islands","Catcher Processors","Flatfish","2018",180835,87869376
"Gulf of Alaska","Catcher Processors","All Groundfish","2018",26168,17692866
"Gulf of Alaska","Catcher Vessels","All Groundfish","2018",210959,149374974
"All Alaska","All Sectors","Atka Mackerel","2018",70784,54271414
"All Alaska","Catcher Processors","Atka Mackerel","2018",64956,49802000
"All Alaska","Catcher Vessels","Atka Mackerel","2018",5828,4469414
"Bering Sea and Aleutian Islands","All Sectors","Atka Mackerel","2018",69508,53271526
"Bering Sea and Aleutian Islands","Catcher Processors","Atka Mackerel","2018",63857,48940479
"Bering Sea and Aleutian Islands","Catcher Vessels","Atka Mackerel","2018",5651,4331047
"Gulf of Alaska","Catcher Vessels","Sablefish","2018",9511,81443911
"All Alaska","All Sectors","All Groundfish","2018",2146207,951970823
"All Alaska","Catcher Processors","All Groundfish","2018",1106065,476362482
"All Alaska","Catcher Vessels","All Groundfish","2018",1040142,475608341
"Bering Sea and Aleutian Islands","All Sectors","All Groundfish","2018",1909079,784902982
"Bering Sea and Aleutian Islands","Catcher Processors","All Groundfish","2018",1079896,458669616
"Bering Sea and Aleutian Islands","Catcher Vessels","All Groundfish","2018",829183,326233367
"Gulf of Alaska","All Sectors","All Groundfish","2018",237128,167067840
"All Alaska","All Sectors","Sablefish","2018",12306,93614375
"All Alaska","Catcher Processors","Sablefish","2018",1968,9088298
"All Alaska","Catcher Vessels","Sablefish","2018",10339,84526077
"Bering Sea and Aleutian Islands","All Sectors","Sablefish","2018",1779,5769720
"Bering Sea and Aleutian Islands","Catcher Processors","Sablefish","2018",951,2687554
"Bering Sea and Aleutian Islands","Catcher Vessels","Sablefish","2018",828,3082166
"Gulf of Alaska","All Sectors","Sablefish","2018",10528,87844655
"Gulf of Alaska","Catcher Processors","Sablefish","2018",1017,6400744
"All Alaska","Catcher Processors","Rockfish","2018",51982,23587968
"All Alaska","Catcher Vessels","Rockfish","2018",18199,9330477
"Bering Sea and Aleutian Islands","All Sectors","Rockfish","2018",38783,18122113
"Bering Sea and Aleutian Islands","Catcher Processors","Rockfish","2018",35274,16453588
"Bering Sea and Aleutian Islands","Catcher Vessels","Rockfish","2018",3509,1668525
"Gulf of Alaska","All Sectors","Rockfish","2018",31399,14796332
"Gulf of Alaska","Catcher Processors","Rockfish","2018",16708,7134380
"Gulf of Alaska","Catcher Vessels","Rockfish","2018",14691,7661952
"All Alaska","Catcher Vessels","Pollock","2018",873612,279156774
"Bering Sea and Aleutian Islands","All Sectors","Pollock","2018",1369767,408240237
"Bering Sea and Aleutian Islands","Catcher Processors","Pollock","2018",651433,171117799
"Bering Sea and Aleutian Islands","Catcher Vessels","Pollock","2018",718334,237122439
"Gulf of Alaska","All Sectors","Pollock","2018",155881,42197584
"Gulf of Alaska","Catcher Processors","Pollock","2018",603,163248
"Gulf of Alaska","Catcher Vessels","Pollock","2018",155278,42034336
"All Alaska","All Sectors","Rockfish","2018",70182,32918445
"Bering Sea and Aleutian Islands","All Sectors","Pacific Cod","2018",218006,196217759
"Bering Sea and Aleutian Islands","Catcher Processors","Pacific Cod","2018",135528,124691161
"Bering Sea and Aleutian Islands","Catcher Vessels","Pacific Cod","2018",82477,71526599
"Gulf of Alaska","All Sectors","Pacific Cod","2018",14404,14159085
"Gulf of Alaska","Catcher Processors","Pacific Cod","2018",1746,1667516
"Gulf of Alaska","Catcher Vessels","Pacific Cod","2018",12658,12491569
"All Alaska","All Sectors","Pollock","2018",1525649,450437822
"All Alaska","Catcher Processors","Pollock","2018",652036,171281047
"Bering Sea and Aleutian Islands","Catcher Processors","Other Groundfish","2019",9140,6549123
"Bering Sea and Aleutian Islands","Catcher Vessels","Other Groundfish","2019",672,192812
"Gulf of Alaska","All Sectors","Other Groundfish","2019",1211,1216701
"Gulf of Alaska","Catcher Processors","Other Groundfish","2019",75,55738
