"year","filename","area","port","EUREKA","X","X.1","CRESCENT.CITY","TRINIDAD","SHELTER.COVE","SAN.FRANCISCO","PRINCETON.HALF.MOON","BERKELEY","ALAMEDA","ALL.OTHER.PORTS","MONTEREY","MOSS.LANDING","SANTA.CRUZ","VENTURA","SANTA.BARBARA.HARBOR","OXNARD","TERMINAL.ISLAND","SAN.PEDRO","DANA.POINT","NEWPORT.BEACH","LONG.BEACH","REDONDO.BEACH","AVALON","WILMINGTON","BODEGA.BAY","FORT.BRAGG","POINT.ARENA","ALBION","X.2","MORRO.BAY","AVILA.PORT.SAN.LUIS","SAN.SIMEON","SAN.DIEGO","MISSION.BAY","OCEANSIDE"
2017,"Table 16PUB.pdf",NA,NA,"Thornyhead, shortspine..................................................","15,286","$8,173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Sole, rex..............................................................................","21,779","$8,087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Rockfish, vermilion...........................................................","2,492","$5,876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Shark, shortfin mako........................................................","5,283","$5,283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Greenling, kelp..................................................................","592","$3,490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,"Rockfish, China.................................................................","444","$3,357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,NA,"2,311","$3,123","Rockfish, canary...............................................................",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,NA,"3,742","$2,652","Rockfish, group slope.....................................................",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,NA,"2,505","$2,562","Shark, thresher..................................................................",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,NA,"3,744","$2,428","Rockfish, group shelf......................................................",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,NA,"4,076","$1,304","Sole, English......................................................................",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,NA,"137","$1,172","Rockfish, grass.................................................................",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,NA,"690","$1,017","Rockfish, yellowtail..........................................................",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,NA,"6,685","$1,015","Flounder, arrowtooth........................................................",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,NA,"1,847","$739","Skate, unspecified...........................................................",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,NA,"67","$536","Louvar..................................................................................",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,NA,"1,087","$507","Rockfish, darkblotched...................................................",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Table 16PUB.pdf",NA,NA,NA,"463","$463","Surfperch, redtail..............................................................",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
