year,filename,area,port,species,landings,value
2018,Table21sdPUB.pdf,San Diego,Oceanside,Port Totals:,"366,370","$1,871,635 "
2018,Table21sdPUB.pdf,San Diego,,,,
2018,Table21sdPUB.pdf,San Diego,National City,"Lobster, California spiny",270,"$4,323 "
2018,Table21sdPUB.pdf,San Diego,National City,Yellowtail,460,"$1,150 "
2018,Table21sdPUB.pdf,San Diego,National City,"Barracuda, California",154,$231 
2018,Table21sdPUB.pdf,San Diego,National City,"Tuna, yellowfin",69,$206 
2018,Table21sdPUB.pdf,San Diego,National City,"Shark, shortfin mako",60,$165 
2018,Table21sdPUB.pdf,San Diego,National City,"Halibut, California",21,$114 
2018,Table21sdPUB.pdf,San Diego,National City,"Bonito, Pacific",61,$99 
2018,Table21sdPUB.pdf,San Diego,National City,"Tuna, skipjack",7,$11 
2018,Table21sdPUB.pdf,San Diego,National City,Port Totals:,"1,102","$6,299 "
2018,Table21sdPUB.pdf,San Diego,,,,
2018,Table21sdPUB.pdf,San Diego,La Jolla,"Lobster, California spiny",80,"$1,232 "
2018,Table21sdPUB.pdf,San Diego,La Jolla,Yellowtail,45,$225 
2018,Table21sdPUB.pdf,San Diego,La Jolla,"Halibut, California",31,$124 
2018,Table21sdPUB.pdf,San Diego,La Jolla,"Bass, giant sea",35,$105 
2018,Table21sdPUB.pdf,San Diego,La Jolla,"Shark, thresher",45,$45 
2018,Table21sdPUB.pdf,San Diego,La Jolla,Port Totals:,236,"$1,731 "
2018,Table21sdPUB.pdf,San Diego,,,,
2018,Table21sdPUB.pdf,San Diego,All Other Ports,"Lobster, California spiny","1,171","$19,125 "
2018,Table21sdPUB.pdf,San Diego,All Other Ports,"Sheephead, California",932,"$4,906 "
2018,Table21sdPUB.pdf,San Diego,All Other Ports,ER PORTS,,
