Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"","$145,980","$75,390","$8,907","$32,380","$17,048","$67,467","$2,369","$5,590",
"Rockfish, kelp",,162,571,67,222,"5,468",184,,
"",,$81,$318,$52,$290,"$9,252",$260,,
"Rockfish, olive",,,,70,,65,,,
"",,,,$35,,$48,,,
"Rockfish, Pacific ocean perch",323,,,,,,,,
"",$113,,,,,,,,
"Rockfish, pinkrose",,150,,,,,64,,
"",,$75,,,,,$32,,
"Rockfish, quillback","1,907",242,,627,,,,,
"","$2,068",$327,,"$1,626",,,,,
"Rockfish, redbanded","5,638",425,,,,,75,,
"","$4,637",$64,,,,,$75,,
"Rockfish, rosethorn",62,"6,603",471,"2,746",58,,217,,
"",$30,"$3,233",$236,"$1,171",$28,,$159,,
"Rockfish, rosy",4,444,,,,,,15,539
"",$3,$115,,,,,,$11,$458
"Rockfish, shortbelly",293,"5,085",,,817,,,,
"",$64,$882,,,$127,,,,
"Rockfish, speckled",,,,,,13,,,
"",,,,,,$10,,,
"Rockfish, splitnose",,,,,,"3,939",90,,
"",,,,,,$985,$90,,
Table 5h (continued) Rockfish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Rockfish, squarespot",672,,,741,,,,,
"",$605,,,$593,,,,,
"Rockfish, starry",,,,"1,525",3,5,"2,709","15,975",19
"",,,,$866,$3,$3,"$4,608","$19,875",$25
"Rockfish, treefish",,,,,,81,17,15,2
"",,,,,,$288,$51,$9,$5
"Rockfish, unspecified","1,004,858","1,334,364","421,069","293,273","199,425","696,211","206,628","107,718","66,221"
"","$362,851","$478,191","$166,432","$138,050","$104,271","$340,551","$159,859","$104,581","$70,650"
"Rockfish, vermilion","1,943","4,885","2,280","26,356","12,366",7,449,,404
"","$1,631","$4,480","$2,106","$21,612","$11,694",$8,$711,,$505
"Rockfish, widow","1,357,396","177,566","121,381","135,958","146,374","63,366","13,173",185,
"","$441,859","$60,547","$44,071","$52,231","$62,030","$28,713","$4,154",$209,
"Rockfish, yelloweye","11,952","26,071","1,252","15,083","2,243",,154,,
"","$12,108","$29,535","$1,440","$14,367","$2,332",,$252,,
"Rockfish, yellowtail","196,278","57,149","15,345","196,262","58,344","14,111","6,068",,
"","$79,170","$28,655","$7,777","$92,993","$30,680","$7,052","$2,004",,
"",,,,,,,,,
Crustaceans:,,,,,,,,,
"Crab, box",,,,162,,81,,"1,982",194
"",,,,$41,,$89,,"$2,466",$256
"Crab, claws",32,,,,34,"1,695","1,196","1,442",25
"",$64,,,,$33,"$1,527",$935,"$1,723",$17
"Crab, Dungeness","10,593,204","414,573","914,633","1,219,284","119,812","222,439","2,713","2,137",
"","$14,053,723","$582,756","$1,359,836","$1,894,602","$207,558","$454,973","$6,136","$4,966",
"Crab, king",,,,,,,265,,48
"",,,,,,,$479,,$63
"Crab, rock unspecified","12,336","2,959",130,"57,316","13,534","313,402","473,496","67,101","62,100"
"","$14,605","$3,432",$177,"$63,100","$17,050","$322,529","$490,429","$75,087","$65,083"
"Crab, sand",,11,,,,,115,1,
"",,$200,,,,,$115,$1,
"Crab, shore","8,272",,,,,,,,
"","$11,498",,,,,,,,
"Crab, spider",40,,,,,"3,890","41,449","17,935","3,976"
"",$35,,,,,"$3,256","$24,908","$15,797","$2,861"
"Crab, tanner","2,008",,,,,,,,
"","$2,791",,,,,,,,
Table 5h (continued) Crustaceans:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Crustacean, unspecified",,,,,,,,32,
"",,,,,,,,$175,
"Lobster, California spiny",,,,,,"6,350","144,185","138,272","181,373"
"",,,,,,"$45,578","$1,119,682","$1,062,167","$1,266,371"
"Prawn, golden",,,24,,,,,1,
"",,,$120,,,,,$12,
"Prawn, ridgeback",,,,,,,"160,210","2,533",18
"",,,,,,,"$220,210","$10,525",$68
"Prawn, spot",201,95,767,982,"73,188","108,707","164,345","62,332","33,736"
"",$710,$720,"$3,136","$6,566","$413,040","$629,480","$1,023,388","$445,400","$238,060"
"Shrimp, bay",,,"7,451","87,872",,5,,,
"",,,"$33,736","$389,000",,$3,,,
"Shrimp, brine",,,,"737,399",,,,,"3,961"
"",,,,"$523,553",,,,,"$2,812"
"Shrimp, ghost",,,,,,,,1,
"",,,,,,,,$6,
"Shrimp, mantis",,,,,,,,200,
"",,,,,,,,"$1,000",
"Shrimp, Pacific Ocean","10,024,875","651,177",,899,319,"547,779",341,,
"","$5,820,600","$408,246",,$557,$279,"$326,681",$291,,
"Shrimp, red rock",,,,,10,,,17,
"",,,,,$10,,,$195,
"Shrimp, unspecified",,,,"3,932",50,,,,
"",,,,"$2,163",$28,,,,
"",,,,,,,,,
Echinoderms:,,,,,,,,,
"Echinoderm, unspecified",,,,,,,,236,
"",,,,,,,,"$1,180",
"Sea cucumber, unspecified",,,,,675,,"218,313","422,800","5,141"
"",,,,,$439,,"$127,367","$277,657","$2,047"
Sea stars,,,,,,22,,647,
"",,,,,,$72,,$691,
"Urchin, purple sea","1,181","89,180","1,485",447,,,"29,218","19,469","5,053"
"","$1,181","$89,894","$10,921",$370,,,"$27,330","$32,312","$4,021"
"Urchin, red","90,164","4,224,407","1,342,343","118,826","5,343","8,457","13,504,938","3,028,785","1,449,108"
"","$60,862","$4,177,985","$1,224,663","$91,419","$4,209","$12,623","$15,202,608","$2,793,809","$1,754,555"
Table 5h (continued) Echinoderms:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Urchin, white",,,,,,,,"1,481",
"",,,,,,,,"$5,985",
"",,,,,,,,,
Mollusks:,,,,,,,,,
Abalone,,,,15,,,,,
"",,,,$87,,,,,
"Abalone, flat",,,,,,,1,,
"",,,,,,,$1,,
"Abalone, green",,,,,,,167,538,287
"",,,,,,,"$2,660","$5,185","$2,875"
"Abalone, pink",,,,,,13,"9,721","3,508","2,333"
"",,,,,,$116,"$98,610","$35,704","$23,220"
"Abalone, pinto",,,,8,,,,,
"",,,,$18,,,,,
"Abalone, red",,,,"68,317",,"9,510","207,024",68,"1,050"
"",,,,"$586,829",,"$84,064","$1,823,618",$545,"$9,332"
"Abalone, threaded",,,,,,,38,,
"",,,,,,,"$1,009",,
"Abalone, white",,,,,,,,47,
"",,,,,,,,$420,
"Clam, California jackknife",,,,,,,,"2,528",
"",,,,,,,,"$5,251",
"Clam, northern razor",,,,,,,,15,
"",,,,,,,,$24,
"Clam, purple",,,,16,,,,,
"",,,,$3,,,,,
"Clam, rosy razor",,,,,,,,48,700
"",,,,,,,,$12,$439
"Limpet, unspecified",,,,15,,,,384,
"",,,,$90,,,,"$2,294",
"Mollusk, unspecified",,,,,,1,,123,
"",,,,,,$4,,$88,
Mussel,,,,,,,17,"12,280",120
"",,,,,,,$10,"$7,517",$73
"Octopus, unspecified","3,317",623,115,"1,796",139,220,104,972,241
"","$1,917",$312,$86,"$1,289",$89,$183,$83,"$1,349",$365
Table 5h (continued) Mollusks:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
Sea hare,,,,,,"1,570",,"5,068",10
"",,,,,,"$3,140",,"$41,058",$60
Sea slug,,,,,24,,,"2,657",150
"",,,,,$133,,,"$15,917",$15
"Snail, bubble",,,,,,,,838,
"",,,,,,,,"$7,898",
"Snail, sea",,,,2,,42,855,"1,682",312
"",,,,$2,,$22,$293,$950,$156
"Snails, moon",,,,59,,7,525,,
"",,,,$29,,$4,$504,,
"Squid, market","154,825",,,"4,928,499","30,042,577","2,853,028","59,631,291","24,760,165","1,665"
"","$17,626",,,"$640,239","$4,482,132","$541,701","$8,300,043","$2,388,437",$216
"Whelk, Kellet's",,,,,,112,"19,978","18,804",619
"",,,,,,$56,"$6,879","$8,166","$1,164"
"",,,,,,,,,
Plants:,,,,,,,,,
"Algae, marine",,,,,,,,7,
"",,,,,,,,$4,
Kelp,,,,,,,,65,
"",,,,,,,,,
"",,,,,,,,,
Miscellaneous:,,,,,,,,,
"Invertebrates, colonial",,,,,284,,,401,
"",,,,,$686,,,$968,
Sponges,,,,,,,2,10,62
"",,,,,,,$3,$10,$62
Tunicates,,,,,,,,52,
"",,,,,,,,$246,
"Worms, marine",,,,,,,,8,
"",,,,,,,,$8,
Unspecified species,"1,000",23,,128,30,,863,109,86
"",$419,$10,,$51,$36,,$309,$109,$36
"",,,,,,,,,
Total pounds,"48,023,456","13,130,207","6,343,460","21,989,177","44,377,037","11,837,194","79,499,038","100,235,744","5,067,706"
Total ex-vessel value (dollars),"$31,060,696","$9,263,862","$5,208,361","$14,856,878","$10,691,764","$7,319,480","$34,730,788","$25,201,889","$7,270,163"
Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Anchovy, northern",,,,"205,498","2,448,138",,"763,421","656,702","84,155"
"",,,,"$8,750","$88,888",,"$142,894","$27,660","$14,130"
"Barracuda, California",,,,10,,121,"6,986","289,300","6,373"
"",,,,$5,,$96,"$6,131","$124,641","$8,372"
"Bass, giant sea",,,,,,,499,431,265
"",,,,,,,"$1,084",$601,$402
Blacksmith,,,,,,,,243,
"",,,,,,,,$243,
"Bonito, Pacific",84,,,"1,640",293,,"32,814","121,597","1,011"
"",$17,,,$368,$293,,"$10,628","$28,230",$564
Butterfish (Pacific pompano),,,,897,"3,929",62,895,667,
"",,,,$888,"$7,171",$31,$491,$628,
Cabezon,"4,500",307,"1,698","6,259","5,079","152,983","20,470",576,"1,930"
"","$2,304",$452,"$3,728","$10,203","$11,183","$551,366","$80,496",$905,"$5,205"
"Cabrilla, spotted",,,,,,,,635,
"",,,,,,,,$635,
"Cod, Pacific",4,,,,,,,,
"",$1,,,,,,,,
"Corvina, shortfin",,,,,,,,10,"1,037"
"",,,,,,,,$25,$794
"Croaker, white",,,382,"44,330","52,343","2,483","92,581","227,578","145,616"
"",,,$147,"$20,657","$22,910","$1,383","$55,597","$161,388","$86,674"
"Croaker, yellowfin",,,,,,,,,55
"",,,,,,,,,$28
Dolphin (fish),,13,,,,,"10,236",666,
"",,$13,,,,,"$4,839",$591,
Eel,,,,32,6,12,5,,
"",,,,$87,$2,$27,$16,,
"Eel, California moray",,,,,,,611,"6,192",713
"",,,,,,,"$5,575","$16,562","$4,665"
"Eel, wolf (wolf-eel)",129,,,284,5,11,5,,
"",$45,,,$184,$3,$41,$10,,
Escolar,,,,,,,"2,443",544,
"",,,,,,,"$2,545","$1,088",
Table 5i (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Fish, unspecified","6,375",,,26,72,28,"2,404",686,105
"","$1,097",,,$10,$36,$9,"$1,782","$1,733",$63
"Flounder, arrowtooth","257,260",73,137,"1,887",,,,,637
"","$30,713",$7,$16,$850,,,,,$382
"Flounder, starry","4,293",6,,"13,546","5,177","2,514",44,,
"","$1,647",$2,,"$6,391","$2,789","$3,910",$77,,
"Flounder, unspecified",1,,,60,"1,537","5,332",,195,
"",$0.4,,,$90,$725,"$7,719",,$117,
Garibaldi,,,,,,,,25,
"",,,,,,,,$90,
"Goby, yellowfin",,,116,561,,,,,
"",,,$420,"$1,649",,,,,
"Greenling, kelp",108,,481,595,7,955,5,425,
"",$59,,$346,$457,$3,"$3,664",$23,$467,
Grenadiers,"272,487","240,571","44,492","19,178","473,366","1,792",,,
"","$40,841","$36,131","$6,809","$2,535","$78,057",$390,,,
"Grouper, broomtail",,,,,,,29,,
"",,,,,,,$58,,
"Guitarfish, shovelnose",,,,,,725,"5,076","1,643",235
"",,,,,,$345,"$3,118","$1,071",$272
Hagfish,,,,,,,,72,
"",,,,,,,,$72,
Halfmoon,,,,,,5,594,130,28
"",,,,,,$8,$570,$128,$26
"Halibut, California","9,472",35,"11,427","327,097","77,647","51,241","156,166","108,816","29,740"
"","$20,848",$82,"$25,992","$842,137","$181,041","$128,522","$507,083","$357,157","$106,232"
"Halibut, Pacific","2,231","6,227",,,,,48,,
"","$6,397","$14,297",,,,,$132,,
"Halibut, unspecified",3,,,,84,,,39,
"",$1,,,,$189,,,$70,
Herring roe on kelp,"1,228",,"6,762","47,773",466,,,,
"","$2,063",,"$5,680","$96,241",$583,,,,
"Herring, Pacific",,,,,"6,027",,,,28
"",,,,,$181,,,,$28
"Herring, roe","164,409","2,240","544,473","9,569,541","1,347",,,,
"","$107,025","$1,478","$457,357","$9,050,522","$1,828",,,,
"Herring, round",,,,,,,,"31,025",
"",,,,,,,,"$1,786",
Table 5i (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
Jacksmelt,,,,94,"2,816",,,"2,469",12
"",,,,$44,"$1,926",,,"$2,125",$5
Kelpfishes,,,90,,,,,,
"",,,$27,,,,,,
Lingcod,"351,505","267,922","65,210","243,096","134,741","91,507","27,284","3,157","1,033"
"","$173,300","$118,053","$35,539","$138,468","$70,413","$62,166","$14,068","$2,502",$601
"Lizardfish, California",,,,,34,,433,"9,788",29
"",,,,,$7,,$148,"$2,842",$8
Louvar,68,209,345,148,704,957,247,222,"2,400"
"",$272,$692,$831,$342,"$1,945","$3,037",$743,$547,"$9,016"
"Mackerel, jack",128,,3,538,"240,615",19,"48,988","3,518,885","1,161"
"",$7,,$0.2,$302,"$70,355",$3,"$11,306","$193,564",$438
"Mackerel, Pacific",150,10,4,"1,341","1,015,766",100,"592,173","17,336,453","68,942"
"",$9,$1,$0.2,$517,"$195,129",$16,"$23,720","$1,027,428","$17,411"
"Midshipman, plainfin",,,,342,,,,,
"",,,,$41,,,,,
"Mullet, striped",,,,,,,40,,"6,561"
"",,,,,,,$20,,"$4,770"
"Needlefish, California",,,,,,,50,,
"",,,,,,,$25,,
Opah,504,495,"1,421","7,870","24,158","18,767","17,033","12,316","61,672"
"",$230,$206,$688,"$3,165","$10,281","$8,079","$7,239","$5,271","$30,545"
Opaleye,,,,,,56,579,328,
"",,,,,,$88,$190,$306,
"Prickleback, monkeyface",,,3,336,,424,2,,
"",,,$9,$729,,"$1,521",$6,,
Queenfish,,,,,"1,289",,,140,
"",,,,,$980,,,$32,
"Ratfish, spotted",,,,1,,,,,5
"",,,,$0.4,,,,,$2
"Ray, bat","1,099",,,,,,,,
"",$352,,,,,,,,
"Ray, Pacific electric",,,,,,,"2,759",780,
"",,,,,,,"$6,634","$2,484",
"Ray, unspecified",,,,275,,,100,,
"",,,,$110,,,$270,,
Sablefish,"2,193,764","1,413,571","220,221","562,704","1,057,006","483,156","65,808","176,708","13,949"
"","$2,701,268","$1,825,743","$243,320","$587,246","$1,250,645","$365,516","$62,177","$218,197","$9,579"
Table 5i (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
Salmon,,217,75,724,"1,870",31,519,,
"",,$434,$86,"$1,431","$2,628",$74,"$1,253",,
"Salmon, Chinook","30,916","129,393","834,338","2,557,927","2,446,075","581,027","183,509","14,278",92
"","$53,372","$229,560","$1,497,730","$4,798,519","$4,016,942","$1,050,517","$334,500","$27,087",$267
"Salmon, chum",,,,13,,,,,
"",,,,$23,,,,,
"Salmon, coho",,,"5,062",,10,92,,,
"",,,"$8,856",,$25,$191,,,
"Salmon, pink",,,,50,,,,,
"",,,,$88,,,,,
"Salmon, roe (Chinook and coho)",,128,127,351,829,,,,
"",,$134,$127,$715,"$1,216",,,,
Sanddab,"377,761","18,915","59,312","788,182","231,996",880,470,"2,746","3,366"
"","$121,693","$6,052","$19,074","$282,798","$99,254",$268,$393,"$7,571","$3,613"
"Sanddab, Pacific",,,,,,"9,743",32,35,98
"",,,,,,$745,$16,$105,$279
"Sardine, Pacific","3,398",,,"3,512","12,517,999",,"1,048,343","75,320,536","11,789"
"",$850,,,$482,"$517,091",,"$58,567","$2,997,284","$3,461"
"Saury, Pacific",,,,53,,,,,
"",,,,$21,,,,,
"Scorpionfish, California",,,,,,23,"6,872","66,844","17,032"
"",,,,,,$18,"$12,047","$111,223","$23,177"
"Sculpin, staghorn",,,266,"1,163",,,,409,
"",,,$547,"$3,613",,,,$383,
"Sculpin, yellowchin",,,,,,,,4,
"",,,,,,,,$2,
"Seabass, white",,,,166,"1,813",714,"40,290","20,739","9,571"
"",,,,$389,"$2,950","$1,760","$100,846","$41,611","$16,385"
Senorita,,,,,,,,5,217
"",,,,,,,,$21,$108
"Shad, American",,,,60,48,,,,
"",,,,$24,$10,,,,
"Shad, threadfin",,,,"35,086",,,,,
"",,,,"$61,537",,,,,
"Shark, bigeye thresher",,,,,"4,439","1,712",814,"9,127","24,253"
"",,,,,"$3,434","$1,027",$469,"$6,398","$13,903"
"Shark, blue",49,170,,60,,,,"7,043",38
"",$25,$80,,$60,,,,"$2,423",$23
Table 5i (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Shark, brown smoothhound",,,,,,1,93,360,
"",,,,,,$1,$43,$544,
"Shark, gray smoothhound",,,,,,47,17,100,74
"",,,,,,$13,$5,$10,$37
"Shark, horn",,,,,,,7,74,
"",,,,,,,$0.5,$111,
"Shark, leopard",868,,104,"5,032","2,762",258,"4,235","5,156",246
"",$882,,$108,"$2,405","$3,965",$168,"$3,334","$6,581",$236
"Shark, Pacific angel",,,,,836,"4,259","9,046","5,514",57
"",,,,,$461,"$2,727","$7,854","$1,475",$33
"Shark, pelagic thresher",,,,,"5,823",,,,447
"",,,,,"$8,465",,,,$313
"Shark, salmon",,,,,,133,,,130
"",,,,,,$48,,,$47
"Shark, shortfin mako","1,255","2,135","1,621","2,746","8,788","12,377","22,382","31,724","62,251"
"","$1,677","$2,719","$2,286","$3,121","$11,149","$15,201","$16,882","$34,384","$78,436"
"Shark, soupfin",896,880,57,"5,476","14,472","3,203","13,607","9,892","15,429"
"",$903,$945,$57,"$4,267","$10,652","$1,937","$9,505","$9,913","$16,943"
"Shark, spiny dogfish",,,,112,,120,,,
"",,,,$39,,$12,,,
"Shark, swell",,,,,,,125,,
"",,,,,,,$96,,
"Shark, thresher","1,989","2,051","1,198","9,126","29,301","48,109","70,824","54,218","125,519"
"","$2,042","$1,846","$1,779","$11,224","$44,313","$57,672","$95,247","$78,865","$179,572"
"Shark, unspecified",281,,249,"2,336","5,312",124,"16,097",356,322
"",$369,,$177,"$1,033","$5,187",$80,"$15,452",$94,$245
"Shark, white",,,,,,,,102,230
"",,,,,,,,$457,"$1,035"
"Sharks, cow",81,,,,,,,,
"",$81,,,,,,,,
"Sheephead, California",13,,"2,672",,63,"6,653","138,280","42,524","63,451"
"",$26,,"$2,672",,$47,"$14,984","$355,798","$130,212","$198,355"
Silversides,"1,200",,,,,,,,
"",$392,,,,,,,,
"Skate, big",,,,230,,,,,
"",,,,$87,,,,,
"Skate, unspecified","280,087","31,893",289,"28,535","49,564","4,933",475,"17,077",194
"","$45,638","$4,784",$137,"$10,462","$21,268","$1,532",$236,"$5,122",$166
Table 5i (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Smelt, night","1,205,883","11,305",,,300,,,,
"","$362,983","$3,944",,,$90,,,,
"Smelt, surf","799,898","2,583",35,119,506,,,38,
"","$242,163",$943,$25,$327,$304,,,$11,
"Smelt, whitebait","5,855",,,,,,,,
"","$3,806",,,,,,,,
"Smelts, true","5,152",,,,,,,677,
"","$2,562",,,,,,,$337,
"Sole, bigmouth",,,88,,15,,,,
"",,,$54,,$10,,,,
"Sole, Dover","3,839,317","2,498,000","1,567,585","1,126,747","1,821,571","2,560,811",683,"3,282",
"","$1,263,729","$817,898","$492,270","$328,448","$574,358","$815,088",$259,"$1,597",
"Sole, English","188,298","231,636","108,050","394,915","153,851","15,054","8,821",477,
"","$72,269","$87,664","$41,053","$154,332","$61,130","$5,825","$3,573",$286,
"Sole, fantail",,,,,307,220,,,
"",,,,,$271,$194,,,
"Sole, petrale","503,946","175,326","50,959","309,244","152,124","112,177","1,316",61,
"","$435,017","$151,700","$47,179","$276,693","$161,755","$119,315","$2,030",$163,
"Sole, rex","407,892","274,260","132,961","120,373","354,854","222,635",277,"3,896",28
"","$163,224","$109,704","$52,753","$42,440","$141,243","$88,293",$114,"$1,763",$20
"Sole, rock",9,"1,890",808,"12,763",153,15,,53,
"",$3,$709,$305,"$6,138",$104,$5,,$53,
"Sole, sand","22,640",212,48,"50,871","6,380","1,345",,,
"","$18,410",$144,$41,"$42,073","$3,799","$1,196",,,
"Sole, unspecified",,,,3,,"2,090","11,256","68,982",470
"",,,,$2,,"$1,225","$7,047","$34,651",$353
"Stickleback, threespine",,,,31,,,,,
"",,,,"$1,020",,,,,
Stingray,,,,,,48,,,
"",,,,,,$17,,,
"Sunfish, ocean",,117,,,,,,,
"",,$94,,,,,,,
"Surfperch, barred",81,29,,,3,"39,808",61,,
"",$49,$29,,,$2,"$72,087",$104,,
"Surfperch, black",,,,,,117,,,
"",,,,,,$204,,,
"Surfperch, pile","1,160",,,,,,,,
"","$1,160",,,,,,,,
Table 5i (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Surfperch, rainbow",,,,,,23,,,
"",,,,,,$22,,,
"Surfperch, redtail","37,173",163,,614,,73,,,
"","$36,393",$163,,$614,,$129,,,
"Surfperch, rubberlip",,,,42,,5,,370,
"",,,,$60,,$6,,$352,
"Surfperch, shiner",45,,,,,,,,
"",$27,,,,,,,,
"Surfperch, unspecified",680,170,23,"2,201",669,"2,285",134,"3,599",112
"",$403,$170,$35,"$3,267","$4,340","$3,808",$86,"$3,313",$86
"Surfperch, walleye",4,,,,,,,,
"",$5,,,,,,,,
Swordfish,"42,827","68,039","70,995","81,886","272,682","142,137","455,198","204,243","426,729"
"","$164,697","$280,826","$276,029","$298,834","$998,828","$523,403","$1,200,754","$956,476","$1,784,297"
"Thornyhead, longspine","2,467,549","1,192,913","294,746","226,975","734,235","940,249",,141,
"","$2,411,363","$1,222,575","$278,281","$231,382","$780,648","$947,926",,$423,
"Thornyhead, shortspine","625,605","335,607","122,295","73,966","239,913","269,055",,,
"","$714,785","$417,951","$139,302","$94,529","$259,098","$279,144",,,
Thornyheads (unspecified),"75,347","5,042","16,793","44,252","87,408","94,351","70,441","100,783","8,204"
"","$83,035","$5,205","$17,877","$44,574","$81,661","$95,560","$57,483","$143,171","$5,751"
"Tomcod, Pacific",,52,,,,,,151,
"",,$21,,,,,,$136,
"Tuna, albacore","501,712","55,794","22,240","39,929","417,926","30,170","14,743","711,743","39,084"
"","$409,721","$46,365","$17,307","$36,826","$333,487","$27,903","$14,426","$591,010","$33,394"
"Tuna, bigeye",,,,,,,"73,316","10,851","1,308"
"",,,,,,,"$187,449","$68,780","$3,297"
"Tuna, bluefin","2,373","2,450","5,554","3,023","13,930","4,704","8,216","1,324,731","3,452"
"","$7,119","$4,710","$11,979","$7,551","$35,890","$7,730","$30,565","$865,600","$3,105"
"Tuna, skipjack",,"1,249",666,,"1,699","1,233","1,120","14,607,748","713,777"
"",,"$1,698",$333,,$802,$577,"$1,008","$4,542,854","$242,400"
"Tuna, skipjack, black",,,,,,,,"221,937",
"",,,,,,,,"$48,737",
"Tuna, unspecified",,,,,897,24,88,,"2,027"
"",,,,,"$1,305",$72,$134,,"$4,857"
"Tuna, yellowfin",,,,144,370,63,"4,156","6,491,464","47,741"
"",,,,$345,$130,$158,"$8,436","$2,938,454","$24,698"
Turbot,"9,358",22,336,"4,119",65,"1,062",,,
"","$1,580",$7,$100,"$1,222",$23,$363,,,
Table 5i (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Turbot, curlfin",,,,,,76,,,199
"",,,,,,$29,,,$129
"Turbot, hornyhead",,,,,,333,,,
"",,,,,,$119,,,
Wahoo,,,,,,,372,"5,497",85
"",,,,,,,$372,"$3,752",$17
"Whitefish, ocean",7,,,,8,2,"16,413","8,058","3,335"
"",$1,,,,$5,$1,"$9,616","$4,316","$1,765"
"Whiting, Pacific","9,015,207",,,552,,9,,"2,054",463
"","$453,153",,,$127,,$5,,"$3,001",$197
Yellowtail,40,,150,,,,20,"3,387","6,192"
"",$49,,$185,,,,$20,"$3,734","$8,052"
"",,,,,,,,,
Rockfish:,,,,,,,,,
"Rockfish, bank",,,,"51,920","26,295","11,861","15,165",,"1,135"
"",,,,"$22,713","$10,750","$5,960","$6,163",,$874
"Rockfish, black","213,751","3,789","4,140","17,671","3,595","1,726",98,158,
"","$111,777","$1,891","$2,162","$10,963","$2,192",$781,$147,$126,
"Rockfish, blackgill",266,,"4,126","23,733","20,067","46,769","96,838","162,897","56,778"
"",$134,,"$1,952","$10,775","$11,246","$24,884","$75,061","$105,253","$49,868"
"Rockfish, blue","12,352","6,560","1,986","6,078","11,163","1,888",195,135,
"","$6,072","$3,285","$1,372","$4,778","$6,624","$1,060",$78,$68,
"Rockfish, bocaccio","96,896","182,438","117,173","194,201","454,709","325,801","201,450","101,399","4,841"
"","$39,133","$68,423","$45,817","$82,666","$214,731","$125,513","$86,846","$68,919","$2,995"
"Rockfish, bronzespotted",,,,,,,627,,
"",,,,,,,$627,,
"Rockfish, brown",480,,377,"1,394",734,6,464,121,267
"",$445,,$644,"$2,966",$294,$15,$464,$121,$294
"Rockfish, canary","193,190","72,956","6,919","53,045","15,062",798,,,
"","$119,804","$46,084","$3,628","$41,848","$8,231",$318,,,
"Rockfish, chilipepper","33,509",439,"152,740","901,484","1,436,642","272,796","9,644","5,485","7,094"
"","$16,227",$220,"$79,874","$385,239","$653,467","$127,272","$4,503","$3,231","$5,603"
"Rockfish, China","9,343","2,485","26,676","9,779","6,859","3,014",,,
"","$13,410","$3,402","$57,013","$17,761","$10,123","$7,062",,,
"Rockfish, copper","28,312","7,209","12,221","23,271","9,326","4,901","10,024","2,328",
"","$27,962","$6,855","$25,811","$41,787","$11,003","$9,648","$11,439","$2,626",
Table 5i (continued) Rockfish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Rockfish, cowcod",,4,,697,"1,300","6,351","25,534","17,015","1,228"
"",,$4,,$272,$800,"$6,770","$25,516","$25,217","$1,617"
"Rockfish, flag",,,,,,10,995,,
"",,,,,,$5,$885,,
"Rockfish, gopher",8,,"1,828",744,128,"9,395","3,358","1,698",169
"",$14,,"$2,757","$2,098",$128,"$22,678","$6,822","$1,676",$210
"Rockfish, grass",6,,,77,503,"70,580","37,548",,
"",$29,,,$276,"$1,449","$318,020","$186,443",,
"Rockfish, greenspotted",655,"11,118",,"3,459",124,,,,
"",$559,"$10,206",,"$2,763",$87,,,,
"Rockfish, greenstriped","2,395",,"1,314",183,274,23,30,,
"",$543,,$527,$48,$109,$23,$30,,
"Rockfish, group black/blue",31,,,353,,,,,
"",$15,,,$389,,,,,
"Rockfish, group bolina",,,"9,602","33,053","3,040","10,204",161,170,
"",,,"$16,882","$81,590","$3,531","$8,938",$197,$170,
"Rockfish, group canary/vermilion",227,,,,,,,,
"",$204,,,,,,,,
"Rockfish, group deepwater reds",9,,,,"36,563",,,,
"",$6,,,,"$17,123",,,,
"Rockfish, group gopher",,,"9,968","11,080","31,231","113,899","1,734",,
"",,,"$21,982","$21,190","$47,761","$248,368","$3,147",,
