Fish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"$5,441,155","$4,481,021","$4,739,668","$4,190,250","$5,833,603","$6,214,244","$2,504,821","$6,556,654","$4,203,443","$5,608,356","$5,363,328","$985,167","$2,042,684"
"Shrimp, red rock254",48,18,,100,,73,27,186,99,15,78,334
"$1,879","$1,983",$220,,$946,,$183,$205,$276,$787,$150,"$1,636","$6,950"
"Shrimp, unspecified19,866","2,791","20,960","18,934",42,"45,012","1,282","3,982",105,194,"12,452",305,"2,077"
"$97,460","$12,759","$24,038","$9,840",$179,"$22,656","$4,280","$2,190",$158,$922,"$8,327",$597,"$4,309"
"Total pounds 17,634,828","25,167,096","22,936,806","23,910,329","19,162,327","30,587,538","23,109,544","27,719,658","18,611,515","25,849,885","29,157,596","17,101,562","18,141,671"
"Total ex-vessel value $30,304,608 (dollars) $19,950,066","$25,097,546","$19,029,502","$28,680,705","$20,659,218","$24,480,945","$23,565,792","$33,679,763","$29,294,882","$35,289,326","$39,890,176","$34,249,898",
Echinoderms:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Echinoderm, unspecified",,,587,,,,11,236,15,354,228,316,143
"",,,$408,,,,$5,"$1,180",$75,"$1,177","$1,140","$1,520",$766
Sand dollar,,,,,,,,,,,,,80
"",,,,,,,,,,,,,$800
"Sea cucumber, unspecified","107,678","159,106","160,011","148,163","581,972","549,191","646,210","646,929","589,888","839,389","452,640","769,852","601,504"
"","$22,921","$32,318","$32,890","$36,542","$180,940","$229,486","$363,319","$407,510","$412,725","$586,471","$222,838","$458,222","$419,652"
Sea stars,7,"12,664",5,,,,,668,375,739,486,610,236
"",$66,"$3,084",$10,,,,,$763,$406,"$1,679",$642,"$1,555",$399
"Urchin, purple sea",,,"2,781","89,633","390,186","316,134","165,032","146,033","79,802","67,682","130,946","23,329","40,095"
"",,,"$1,363","$42,491","$231,683","$257,650","$133,157","$166,029","$89,481","$89,760","$146,047","$29,474","$44,791"
"Urchin, red","46,061,649","51,987,990","51,200,303","45,266,911","41,945,432","32,366,557","26,852,646","23,772,372","22,256,820","20,062,039","18,020,975","10,553,437","14,182,789"
"","$11,794,461","$17,116,602","$18,459,543","$24,504,625","$33,352,143","$29,050,006","$26,542,296","$25,322,733","$22,506,879","$18,776,974","$15,137,175","$8,001,731","$13,465,475"
"Urchin, white",8,"2,101",,35,,,,"1,481","3,887","3,548","6,457","3,882","4,867"
"",$1,"$21,010",,$350,,,,"$5,985","$8,896","$8,778","$32,640","$19,380","$15,963"
Total pounds,"46,169,341","52,161,861","51,363,687","45,504,741","42,917,590","33,231,882","27,663,898","24,567,719","22,930,787","20,973,750","18,611,731","11,351,426","14,829,714"
Total ex-vessel value,,,,,,,,,,,,,
"(dollars)","$11,817,448","$17,173,014","$18,494,214","$24,584,008","$33,764,766","$29,537,142","$27,038,777","$25,904,201","$23,018,462","$19,464,839","$15,540,482","$8,511,882","$13,947,847"
Mollusks:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Abalone,"1,550",75,775,217,"1,350",,,15,,67,,,
"","$8,768",$225,"$4,359","$1,872",$405,,,$87,,$622,,,
"Abalone, black","309,786","201,660","222,671","94,193","27,220","37,714","2,031",,,,,,
"","$774,039","$559,188","$782,436","$393,683","$122,129","$183,232","$10,789",,,,,,
"Abalone, flat",,,,,,,,1,,,,,
"",,,,,,,,$1,,,,,
"Abalone, green","28,985","23,521","20,150","27,333","8,162","10,304","10,858",992,"1,073",56,,,
"","$135,389","$124,417","$121,350","$179,466","$54,847","$71,088","$42,787","$10,720","$12,510",$810,,,
"Abalone, pink","31,597","19,025","22,554","23,268","12,883","18,229","19,932","15,575","16,398",4,,,
"","$138,220","$91,295","$120,038","$139,980","$80,874","$123,850","$121,272","$157,650","$172,647",$48,,,
"Abalone, pinto",,,,,,,,8,46,6,,,
"",,,,,,,,$18,$130,$6,,,
Table 4e (continued) Mollusks:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Abalone, red","391,030","324,434","475,285","378,914","330,974","448,593","428,518","285,969","244,807","229,252","112,323",,
"","$1,396,820","$1,223,261","$1,990,852","$1,820,021","$1,555,406","$2,439,596","$2,977,766","$2,504,388","$2,305,812","$2,207,453","$1,062,547",,
"Abalone, threaded",8,,,,,,,38,1,,,,
"",$15,,,,,,,"$1,009",$10,,,,
"Abalone, white",2,2,22,17,3,,,47,37,,,,
"",$15,$15,$12,$10,$23,,,$420,$640,,,,
"Chiton, unspecified",,,,,,,296,,21,,"2,595",99,
"",,,,,,,$592,,$26,,$623,$35,
"Clam, California jackknife",252,"5,034","6,547","3,820","4,722","2,837","2,384","2,528","2,561","1,522","2,676","1,173","1,152"
"",$510,"$10,596","$9,359","$7,733","$8,282","$5,781","$4,916","$5,251","$5,504","$3,425","$4,044","$2,550","$2,584"
"Clam, common littleneck",,,,,,,,,,144,,46,
"",,,,,,,,,,$324,,$46,
"Clam, gaper",,"1,566",,,,,,,5,11,9,,
"",,"$1,183",,,,,,,$5,$5,$8,,
"Clam, northern quahog",,,,,,,,,,,,,110
"",,,,,,,,,,,,,$33
"Clam, northern razor",,,,,,,,15,,,,,
"",,,,,,,,$24,,,,,
"Clam, purple",,,,,,,,16,,,,,
"",,,,,,,,$3,,,,,
"Clam, rosy razor",81,,,52,,,,748,280,,,8,17
"",$40,,,$52,,,,$451,$213,,,$17,$35
"Clam, unspecified","105,161","15,316",501,,,505,"14,443",,,51,,,41
"","$32,092","$4,361",$376,,,"$1,018","$7,264",,,$115,,,$91
"Limpet, unspecified","2,654","1,909","1,448","1,062",371,387,205,399,834,327,984,"1,225","1,588"
"","$2,654","$2,056","$1,430","$1,170",$371,$441,$134,"$2,384","$4,561","$1,459","$5,414","$7,240","$9,921"
"Mollusk, unspecified",2,9,,,,,2,124,,734,,478,5
"",$12,$238,,,,,$18,$92,,$239,,$191,$10
Mussel,"1,577","9,203","9,619","17,928","15,953","14,214","11,567","12,417","13,986","11,231","8,690","9,064","7,785"
"",$934,"$5,505","$5,800","$10,757","$9,572","$8,528","$6,940","$7,601","$10,507","$8,541","$6,913","$7,167","$5,455"
"Octopus, unspecified","16,442","27,564","50,333","35,140","32,776","46,475","24,751","7,526","5,582","9,951","37,566","26,887","7,629"
"","$18,173","$29,144","$41,945","$27,367","$28,747","$40,448","$15,498","$5,673","$4,590","$6,239","$23,245","$14,516","$6,088"
"Oyster, California native",,,69,,740,,,,,,,,
"",,,"$1,749",,"$18,622",,,,,,,,
"Oyster, eastern",,,,,,,,,,,,145,
"",,,,,,,,,,,,$870,
"Oyster, European flat",,,,114,,,,,,,,,
"",,,,$46,,,,,,,,,
Table 4e (continued) Mollusks:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Oyster, giant Pacific",,108,,,,,,,,,,,
"",,$45,,,,,,,,,,,
"Oyster, unspecified",,,,,,,,,3,,41,,
"",,,,,,,,,$1,,$21,,
"Scallop, rock",,,,,,,,,35,,6,,
"",,,,,,,,,$17,,$3,,
"Scallop, unspecified",,,,,,,233,,,,,,
"",,,,,,,$527,,,,,,
Sea hare,0.3,647,,,,,,"6,648","6,073","4,781","6,938","9,272","9,528"
"",$5,"$16,175",,,,,,"$44,258","$46,231","$43,561","$50,962","$57,976","$60,228"
Sea slug,"1,384","1,086",0.3,1,,,,"2,830",248,9,24,600,325
"","$30,222","$27,102",$6,$24,,,,"$16,065","$1,043",$176,$840,"$4,180","$1,547"
"Snail, bubble",,134,5,,,,,838,385,299,548,875,437
"",,"$5,340",$5,,,,,"$7,898","$3,943","$1,714","$5,474","$7,550","$4,370"
"Snail, sea","29,722","29,169","22,065","24,762","25,846","24,043","167,704","2,893","6,910","1,763","3,631","6,188","6,110"
"","$14,432","$12,147","$8,734","$9,714","$11,692","$9,087","$50,951","$1,423","$9,956","$2,546","$1,651","$2,555","$2,952"
"Snail, top",,,,,,,,,,721,"3,681","86,956","24,276"
"",,,,,,,,,,$360,"$1,963","$38,295","$9,803"
"Snails, moon",27,,,,2,,46,591,146,210,70,38,"1,990"
"",$14,,,,$1,,$23,$537,$73,$67,$36,$19,$762
"Squid, jumbo",26,,,"3,370","735,960",37,,,,"1,525","12,159","238,851","13,902"
"",$6,,,$236,"$73,596",$2,,,,"$1,394","$5,617","$69,815","$4,853"
"Squid, market","44,056,899","82,082,351","90,152,659","62,714,435","82,426,950","28,902,796","94,185,071","122,372,050","159,685,409","178,095,778","155,174,428","6,381,504","202,712,530"
"","$3,791,837","$5,577,919","$4,559,836","$5,188,339","$6,151,528","$2,529,135","$10,101,101","$16,370,395","$22,055,264","$21,723,407","$20,610,983","$1,631,073","$33,279,164"
"Whelk, Kellet's","1,216",142,"1,033","1,621","1,983","1,584","4,590","39,513","29,959","20,391","18,453","29,698","43,779"
"",$382,$114,$390,$725,"$1,496","$1,424","$1,547","$16,265","$11,705","$8,605","$7,849","$14,206","$30,210"
Total pounds,"44,978,401","82,742,953","90,985,736","63,326,247","83,625,895","29,507,716","94,872,630","122,751,779","160,014,797","178,378,833","155,384,821","6,793,107","202,831,201"
Total ex-vessel value,,,,,,,,,,,,,
"(dollars)",,,,,,,,,,,,,
"","$6,344,578","$7,690,326","$7,648,677","$7,781,195","$8,117,592","$5,413,629","$13,342,127","$19,152,613","$24,645,388","$24,011,117","$21,788,192","$1,858,302","$33,418,107"
Plants:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Agar,,,2,,,,,,,,,,
"",,,$1,,,,,,,,,,
"Algae, marine",43,,44,36,38,,,7,170,439,27,25,30
"",$28,,$35,$52,$18,,,$4,$174,$177,$10,$253,$70
Kelp,"1,115",780,"1,840",29,"5,992",,,65,,"1,678","1,109","1,718","2,415"
"",$836,$172,$443,$13,"$1,803",,,$65,,"$1,249","$1,337","$3,209","$1,503"
Total (pounds),"1,158",780,"1,885",65,"6,030",,,72,170,"2,117","1,136","1,743","2,445"
Total (ex-vessel dollars),$864,$172,$479,$65,"$1,821",,,$69,$174,"$1,427","$1,346","$3,461","$1,573"
Miscellaneous species:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Anemones,,,,,,,,,,187,,,
"",,,,,,,,,,"$7,460",,,
"Invertebrate, unspecified",,,,,,,,,,,,,61
"",,,,,,,,,,,,,$121
"Invertebrates, colonial",18,"18,488",,330,590,305,,685,379,"1,392","1,944","1,110","1,087"
"",$509,"$15,727",,"$3,300","$3,623","$3,050",,"$1,653","$1,550","$5,107","$6,170","$2,877","$2,773"
Sea pansy,,,,,,,,,,,,,6
"",,,,,,,,,,,,,$68
"Spiders, sea",,,,,,,,,,,,,2
"",,,,,,,,,,,,,$2
Sponges,,,,,,,,74,8,4,,,
"",,,,,,,,$75,$24,$6,,,
Tunicates,,40,17,,,,,52,251,247,128,145,141
"",,$71,$30,,,,,$246,$927,$809,$311,$340,$688
"Worms, marine","1,224","1,631",33,,127,37,13,8,144,24,"1,167","2,709",70
"",$790,$679,$165,,"$1,059",$469,$72,$8,$176,$39,$700,"$1,280",$143
Unspecified species,,,"3,638","3,639",,"4,209",608,"2,239","104,376","54,256","124,589","6,131",
"",,,"$2,707","$2,141",,"$2,800",$469,$970,"$45,613","$45,379","$112,524","$4,190",
Total pounds,"1,242","20,160","3,688","3,969",717,"4,551",621,"3,057","105,158","56,109","127,828","10,094","1,367"
Total ex-vessel value (dollars),"$1,299","$16,476","$2,902","$5,441","$4,682","$6,319",$540,"$2,952","$48,290","$58,801","$119,705","$8,688","$3,795"
