calcom_code,description,port_complex, INPFC,,,
900,SOUTH OF CALIFORNIA,OCA,UNK,,,
ALB,ALBION,BRG,MNT,,,
ALM,ALAMEDA,OSF,MNT,,,
ARE,POINT ARENA,BRG,MNT,,,
AVL,AVILA,MRO,CON,,,
BCR,BIG CREEK,MNT,MNT,,,
BDG,BODEGA BAY,BDG,MNT,,,
BKL,BERKELEY,OSF,MNT,,,
BOL,BOLINAS,BDG,MNT,,,
BRG,FORT BRAGG,BRG,MNT,,,
CRS,CRESCENT CITY,CRS,ERK,,,
CRZ,SANTA CRUZ,MNT,MNT,,,
DNA,DANA POINT,OLA,CON,,,
ERK,EUREKA,ERK,ERK,,,
FLN,FIELDS LANDING,ERK,ERK,,,
HNM,PORT HUENEME,OSB,CON,,,
LGB,LONG BEACH,OLA,CON,,,
MCR,MILL CREEK,MNT,MNT,,,
MNT,MONTEREY,MNT,MNT,,,
MOS,MOSS LANDING,MNT,MNT,,,
MRO,MORRO BAY,MRO,CON,,,
NWB,NEWPORT BEACH,OLA,CON,,,
OAK,OAKLAND,OSF,MNT,,,
OBV,SANTA BARBARA AREA,OSB,CON,,,
OCM,MONTEREY AREA,MNT,MNT,,,
OCN,OCEANSIDE,OSD,CON,,,
ODN,REQUA,CRS,ERK,,,
OHB,BLUE LAKE,ERK,UNK,,,
OLA,LOS ANGELES AREA,OLA,CON,,,
OMD,ELK,BRG,MNT,,,
OSD,SAN DIEGO AREA,OSD,CON,,,
OSF,SAN FRANCISCO AREA,OSF,MNT,,,
OSL,SAN LUIS OBISPO,MRO,CON,,,
OSM,STEWARTS POINT,BDG,MNT,,,
OXN,OXNARD,OSB,CON,,,
PRN,PRINCETON / HALF MOON BAY,OSF,MNT,,,
RCH,RICHMOND,OSF,MNT,,,
RYS,POINT REYES,BDG,MNT,,,
SB,SANTA BARBARA,OSB,CON,,,
SD,SAN DIEGO,OSD,CON,,,
SF,SAN FRANCISCO,OSF,MNT,,,
SIM,SAN SIMEON,MRO,CON,,,
SLT,SAUSALITO,OSF,MNT,,,
SP,SAN PEDRO,OLA,CON,,,
TML,TOMALES BAY,BDG,MNT,,,
TRM,TERMINAL ISLAND,OLA,CON,,,
TRN,TRINIDAD,ERK,ERK,,,
UNK,UNKNOWN,OCA,UNK,,,
VEN,VENTURA,OSB,CON,,,
WLM,WILMINGTON,OLA,CON,,,
