"source","table","season","year","region_type","region","length_class_system","length_class_group","length_class","length_class_floor","nvessels"
"FB 74","Table 31","1947-48",1947,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","85+","85+",85,1
"FB 74","Table 31","1947-48",1947,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,43
"FB 74","Table 31","1947-48",1947,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,113
"FB 74","Table 31","1947-48",1947,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,37
"FB 74","Table 31","1947-48",1947,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,1
"FB 74","Table 31","1947-48",1947,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 80","Table 7","1948-49",1948,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,146
"FB 80","Table 7","1948-49",1948,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,292
"FB 80","Table 7","1948-49",1948,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,98
"FB 80","Table 7","1948-49",1948,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,8
"FB 80","Table 7","1948-49",1948,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","85+","100+",100,2
"FB 80","Table 7","1948-49",1948,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,0
"FB 80","Table 7","1948-49",1948,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,462
"FB 80","Table 7","1948-49",1948,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,1165
"FB 80","Table 7","1948-49",1948,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,422
"FB 80","Table 7","1948-49",1948,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,112
"FB 80","Table 7","1948-49",1948,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","85+","100+",100,28
"FB 80","Table 7","1948-49",1948,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,41
"FB 80","Table 7","1948-49",1948,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,72
"FB 80","Table 7","1948-49",1948,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,226
"FB 80","Table 7","1948-49",1948,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,56
"FB 80","Table 7","1948-49",1948,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,41
"FB 80","Table 7","1948-49",1948,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","85+","100+",100,2
"FB 80","Table 7","1948-49",1948,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,9
"FB 80","Table 7","1948-49",1948,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,2
"FB 80","Table 7","1948-49",1948,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,60
"FB 80","Table 7","1948-49",1948,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,154
"FB 80","Table 7","1948-49",1948,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,71
"FB 80","Table 7","1948-49",1948,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","85+","100+",100,7
"FB 80","Table 7","1948-49",1948,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,13
"FB 80","Table 7","1948-49",1948,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,116
"FB 80","Table 7","1948-49",1948,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,267
"FB 80","Table 7","1948-49",1948,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,11
"FB 80","Table 7","1948-49",1948,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,0
"FB 80","Table 7","1948-49",1948,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","85+","100+",100,0
"FB 80","Table 7","1948-49",1948,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,0
"FB 80","Table 7","1948-49",1948,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,128
"FB 80","Table 7","1948-49",1948,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,371
"FB 80","Table 7","1948-49",1948,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,161
"FB 80","Table 7","1948-49",1948,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,43
"FB 80","Table 7","1948-49",1948,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","85+","100+",100,104
"FB 80","Table 7","1948-49",1948,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,38
"FB 80","Table 7","1948-49",1948,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,62
"FB 80","Table 7","1948-49",1948,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,530
"FB 80","Table 7","1948-49",1948,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,118
"FB 80","Table 7","1948-49",1948,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,31
"FB 80","Table 7","1948-49",1948,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","85+","100+",100,5
"FB 80","Table 7","1948-49",1948,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,4
"FB 80","Table 7","1948-49",1948,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,53
"FB 80","Table 7","1948-49",1948,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,136
"FB 80","Table 7","1948-49",1948,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,51
"FB 80","Table 7","1948-49",1948,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,1
"FB 80","Table 7","1948-49",1948,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","85+","100+",100,2
"FB 80","Table 7","1948-49",1948,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,1
"FB 80","Table 8","1949-50",1949,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,109
"FB 80","Table 8","1949-50",1949,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,339
"FB 80","Table 8","1949-50",1949,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,124
"FB 80","Table 8","1949-50",1949,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,7
"FB 80","Table 8","1949-50",1949,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","85+","100+",100,2
"FB 80","Table 8","1949-50",1949,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,0
"FB 80","Table 8","1949-50",1949,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,437
"FB 80","Table 8","1949-50",1949,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,1256
"FB 80","Table 8","1949-50",1949,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,445
"FB 80","Table 8","1949-50",1949,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,140
"FB 80","Table 8","1949-50",1949,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","85+","100+",100,34
"FB 80","Table 8","1949-50",1949,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,50
"FB 80","Table 8","1949-50",1949,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,83
"FB 80","Table 8","1949-50",1949,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,246
"FB 80","Table 8","1949-50",1949,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,56
"FB 80","Table 8","1949-50",1949,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,43
"FB 80","Table 8","1949-50",1949,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","85+","100+",100,1
"FB 80","Table 8","1949-50",1949,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,5
"FB 80","Table 8","1949-50",1949,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,0
"FB 80","Table 8","1949-50",1949,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,85
"FB 80","Table 8","1949-50",1949,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,273
"FB 80","Table 8","1949-50",1949,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,50
"FB 80","Table 8","1949-50",1949,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","85+","100+",100,7
"FB 80","Table 8","1949-50",1949,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,9
"FB 80","Table 8","1949-50",1949,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,109
"FB 80","Table 8","1949-50",1949,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,247
"FB 80","Table 8","1949-50",1949,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,12
"FB 80","Table 8","1949-50",1949,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,0
"FB 80","Table 8","1949-50",1949,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","85+","100+",100,1
"FB 80","Table 8","1949-50",1949,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,0
"FB 80","Table 8","1949-50",1949,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,135
"FB 80","Table 8","1949-50",1949,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,429
"FB 80","Table 8","1949-50",1949,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,186
"FB 80","Table 8","1949-50",1949,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,37
"FB 80","Table 8","1949-50",1949,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","85+","100+",100,118
"FB 80","Table 8","1949-50",1949,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,41
"FB 80","Table 8","1949-50",1949,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,73
"FB 80","Table 8","1949-50",1949,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,567
"FB 80","Table 8","1949-50",1949,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,129
"FB 80","Table 8","1949-50",1949,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,28
"FB 80","Table 8","1949-50",1949,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","85+","100+",100,1
"FB 80","Table 8","1949-50",1949,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,2
"FB 80","Table 8","1949-50",1949,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,51
"FB 80","Table 8","1949-50",1949,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,128
"FB 80","Table 8","1949-50",1949,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,60
"FB 80","Table 8","1949-50",1949,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,5
"FB 80","Table 8","1949-50",1949,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","85+","100+",100,0
"FB 80","Table 8","1949-50",1949,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,0
"FB 86","Table 7","1950-51",1950,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,43
"FB 86","Table 7","1950-51",1950,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,283
"FB 86","Table 7","1950-51",1950,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,110
"FB 86","Table 7","1950-51",1950,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,10
"FB 86","Table 7","1950-51",1950,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","85+","100+",100,1
"FB 86","Table 7","1950-51",1950,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,0
"FB 86","Table 7","1950-51",1950,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,387
"FB 86","Table 7","1950-51",1950,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,1225
"FB 86","Table 7","1950-51",1950,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,479
"FB 86","Table 7","1950-51",1950,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,114
"FB 86","Table 7","1950-51",1950,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","85+","100+",100,33
"FB 86","Table 7","1950-51",1950,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,50
"FB 86","Table 7","1950-51",1950,"port complex","Mexico","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,0
"FB 86","Table 7","1950-51",1950,"port complex","Mexico","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,0
"FB 86","Table 7","1950-51",1950,"port complex","Mexico","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,0
"FB 86","Table 7","1950-51",1950,"port complex","Mexico","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,1
"FB 86","Table 7","1950-51",1950,"port complex","Mexico","1948-1969: 15-ft bins (100+ max)","85+","100+",100,0
"FB 86","Table 7","1950-51",1950,"port complex","Mexico","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,0
"FB 86","Table 7","1950-51",1950,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,91
"FB 86","Table 7","1950-51",1950,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,252
"FB 86","Table 7","1950-51",1950,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,57
"FB 86","Table 7","1950-51",1950,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,42
"FB 86","Table 7","1950-51",1950,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","85+","100+",100,1
"FB 86","Table 7","1950-51",1950,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,5
"FB 86","Table 7","1950-51",1950,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,1
"FB 86","Table 7","1950-51",1950,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,90
"FB 86","Table 7","1950-51",1950,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,370
"FB 86","Table 7","1950-51",1950,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,84
"FB 86","Table 7","1950-51",1950,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","85+","100+",100,15
"FB 86","Table 7","1950-51",1950,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,9
"FB 86","Table 7","1950-51",1950,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,108
"FB 86","Table 7","1950-51",1950,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,248
"FB 86","Table 7","1950-51",1950,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,13
"FB 86","Table 7","1950-51",1950,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,2
"FB 86","Table 7","1950-51",1950,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","85+","100+",100,0
"FB 86","Table 7","1950-51",1950,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,0
"FB 86","Table 7","1950-51",1950,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,111
"FB 86","Table 7","1950-51",1950,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,414
"FB 86","Table 7","1950-51",1950,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,171
"FB 86","Table 7","1950-51",1950,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,38
"FB 86","Table 7","1950-51",1950,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","85+","100+",100,104
"FB 86","Table 7","1950-51",1950,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,42
"FB 86","Table 7","1950-51",1950,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,48
"FB 86","Table 7","1950-51",1950,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,631
"FB 86","Table 7","1950-51",1950,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,131
"FB 86","Table 7","1950-51",1950,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,32
"FB 86","Table 7","1950-51",1950,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","85+","100+",100,1
"FB 86","Table 7","1950-51",1950,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,3
"FB 86","Table 7","1950-51",1950,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,52
"FB 86","Table 7","1950-51",1950,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,143
"FB 86","Table 7","1950-51",1950,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,53
"FB 86","Table 7","1950-51",1950,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,3
"FB 86","Table 7","1950-51",1950,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","85+","100+",100,0
"FB 86","Table 7","1950-51",1950,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,2
"FB 89","Table 13","1951-52",1951,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,54
"FB 89","Table 13","1951-52",1951,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,289
"FB 89","Table 13","1951-52",1951,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,98
"FB 89","Table 13","1951-52",1951,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,7
"FB 89","Table 13","1951-52",1951,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","85+","100+",100,2
"FB 89","Table 13","1951-52",1951,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,0
"FB 89","Table 13","1951-52",1951,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,425
"FB 89","Table 13","1951-52",1951,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,1154
"FB 89","Table 13","1951-52",1951,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,482
"FB 89","Table 13","1951-52",1951,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,140
"FB 89","Table 13","1951-52",1951,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","85+","100+",100,31
"FB 89","Table 13","1951-52",1951,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,47
"FB 89","Table 13","1951-52",1951,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,107
"FB 89","Table 13","1951-52",1951,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,256
"FB 89","Table 13","1951-52",1951,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,60
"FB 89","Table 13","1951-52",1951,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,43
"FB 89","Table 13","1951-52",1951,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","85+","100+",100,1
"FB 89","Table 13","1951-52",1951,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,4
"FB 89","Table 13","1951-52",1951,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,0
"FB 89","Table 13","1951-52",1951,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,45
"FB 89","Table 13","1951-52",1951,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,272
"FB 89","Table 13","1951-52",1951,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,61
"FB 89","Table 13","1951-52",1951,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","85+","100+",100,10
"FB 89","Table 13","1951-52",1951,"port complex","OR, WA, AK","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,10
"FB 89","Table 13","1951-52",1951,"port complex","Other registry","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,0
"FB 89","Table 13","1951-52",1951,"port complex","Other registry","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,0
"FB 89","Table 13","1951-52",1951,"port complex","Other registry","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,0
"FB 89","Table 13","1951-52",1951,"port complex","Other registry","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,1
"FB 89","Table 13","1951-52",1951,"port complex","Other registry","1948-1969: 15-ft bins (100+ max)","85+","100+",100,2
"FB 89","Table 13","1951-52",1951,"port complex","Other registry","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,0
"FB 89","Table 13","1951-52",1951,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,85
"FB 89","Table 13","1951-52",1951,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,203
"FB 89","Table 13","1951-52",1951,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,12
"FB 89","Table 13","1951-52",1951,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,1
"FB 89","Table 13","1951-52",1951,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","85+","100+",100,0
"FB 89","Table 13","1951-52",1951,"port complex","Sacramento","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,0
"FB 89","Table 13","1951-52",1951,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,109
"FB 89","Table 13","1951-52",1951,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,359
"FB 89","Table 13","1951-52",1951,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,184
"FB 89","Table 13","1951-52",1951,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,35
"FB 89","Table 13","1951-52",1951,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","85+","100+",100,118
"FB 89","Table 13","1951-52",1951,"port complex","San Diego","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,52
"FB 89","Table 13","1951-52",1951,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,56
"FB 89","Table 13","1951-52",1951,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,621
"FB 89","Table 13","1951-52",1951,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,146
"FB 89","Table 13","1951-52",1951,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,21
"FB 89","Table 13","1951-52",1951,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","85+","100+",100,2
"FB 89","Table 13","1951-52",1951,"port complex","San Francisco","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,0
"FB 89","Table 13","1951-52",1951,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,34
"FB 89","Table 13","1951-52",1951,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,130
"FB 89","Table 13","1951-52",1951,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,67
"FB 89","Table 13","1951-52",1951,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,1
"FB 89","Table 13","1951-52",1951,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","85+","100+",100,0
"FB 89","Table 13","1951-52",1951,"port complex","Santa Barbara","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,0
"FB 95","Table 9","1952-53",1952,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,90
"FB 95","Table 9","1952-53",1952,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,265
"FB 95","Table 9","1952-53",1952,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,99
"FB 95","Table 9","1952-53",1952,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,7
"FB 95","Table 9","1952-53",1952,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","85+","100+",100,4
"FB 95","Table 9","1952-53",1952,"port complex","Eureka","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,0
"FB 95","Table 9","1952-53",1952,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,343
"FB 95","Table 9","1952-53",1952,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,1040
"FB 95","Table 9","1952-53",1952,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,433
"FB 95","Table 9","1952-53",1952,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","65-84","65-84",65,127
"FB 95","Table 9","1952-53",1952,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","85+","100+",100,28
"FB 95","Table 9","1952-53",1952,"port complex","Los Angeles","1948-1969: 15-ft bins (100+ max)","85+","85-99",85,45
"FB 95","Table 9","1952-53",1952,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","0-24","0-24",0,106
"FB 95","Table 9","1952-53",1952,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","25-39","25-39",25,243
"FB 95","Table 9","1952-53",1952,"port complex","Monterey","1948-1969: 15-ft bins (100+ max)","40-64","40-64",40,61
